59	DateUtils Utils method switching truncate dealing MDT hour Calendar oct assertEquals assert Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
368	getDateInstance Instance getDateTimeInstance Time Instance Instance Locale HashMap Hash Map Hash FastDateFormat Fast Format locale items Time	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce infinite	infinite loop Fraction reduce numerator
393	compare comparing BigDecimal Big Decimal BigDecimals Big Decimals Decimal don EqualsBuilder Equals Builder Big compareTo compare equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Str getNullText Null Text handle nulls Null null append Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str WordUtils Word Utils upper abbreviate String length substring Word greater	WordUtils abbreviate bug greater str length Word Utils
432	insensitive string String Bugs case sensitive Case intended handling Bug	case insensitive string handling
457	createNumber create Number Number NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception thows String Bounds create passed Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Message format ExtendedMessageFormat Extended Message Format Extended java HashMap Hash Map borderStyle border Style formatRegistry format Registry formatted	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String StringEscapeUtils String Escape Utils characters unicode character Characters COUNTING incorrectly converted	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number NumberUtils Number Utils isNumber Number True hasExp Exp decimal number Decimal works dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone format Zone Format dateTime Time GregorianCalendar Gregorian Calendar test problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	Utils String replaceEach replace replacementList replacement List replacement replace StringUtils String Utils junit Test null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ThreadLocals Thread Locals created Hash ToStringStyle String Style removed memory webapp loading HashCodeBuilder Hash Code Builder application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object ClassUtils Class Utils Utils Class throws NPE null array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberUtils Number Utils throws NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception create String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week FastDateFormat Fast Format output locale Week Locale format firstDayOfWeek Day Week SimpleDateFormat Simple Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction apache test FractionTest Fraction Test borderStyle border Style commons Style Test gcd	org apache commons lang math Fraction reduce Integer MIN
664	isNumber Number Number hasExp Exp Digit NumberUtils Number Utils String code foundDigit Digit java return	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Utils method DateUtils Utils Time Local assertFalse assert False class Assert work	DateUtils isSameLocalTime work correct Utils Local Time
719	year FastDateFormat Fast Format Format SimpleDateFormat Simple Format formats Java Javadoc Fast YYY JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	NumberUtils Number Utils Number handle upper createNumber create Number create case NumberFormatException Number Format Exception hex Integer	NumberUtils handle upper case hex Number Utils
747	Number NumberUtils Number Utils create numbers handle Integer createNumber create Number Long createLong create Long handles	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization Utils ClassNotFoundException Class Exception class Type resolveClass resolve Class SerializationUtils Serialization Utils java catch	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	RandomStringUtils Random String Utils random chars char nextInt Int Int empty useless code length	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomStringUtils Random String Utils RandomUtils Random Utils throws confusing start nextInt Int Utils Int String	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number NumberUtils Number Utils Decimal behaviour BigDecimal Big Decimal create leading bad NumberFormatException Number Format Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	treats treat white parse space FastDateParser Fast Parser handle FDP parsed Fast	FastDateParser handle white space properly Fast Parser
832	handle unterminated quotes works correctly format handled parse FastDateParser Fast Parser Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String LookupTranslator Lookup Translator implementation CharBuffer Char Buffer implements equals instances Escape	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
