59	DAY oct MST DateUtils Utils Calendar Utils method input switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
521	number Number decimal foundDigit Digit NumberUtils Number Utils isNumber Number Digit chars Decimal Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format TimeZone Time Zone format getTimeZone Time Zone unit Utils final test	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement String replace Utils null StringUtils String Utils Test replaceEach replace List org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	String thread org memory lang commons leak builder reference application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object element Class Utils null array toClass Class ClassUtils Class Utils throws NPE	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils Exception throws NumberFormatException Number Format Exception Format Bounds String createNumber create Number create	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format locale week Fast Week format number Simple Day output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN method Equals int case void code test	org apache commons lang math Fraction reduce Integer MIN
664	NumberUtils Number Utils Number Exp foundDigit Digit Digit String isNumber Number code chars Java	NumberUtils isNumber String String Number Utils Number
677	Time Utils method Calendar isSameLocalTime Local Time Assert setTimeInMillis set Time Millis DAY assert DateUtils Utils	DateUtils isSameLocalTime work correct Utils Local Time
719	Format year SimpleDateFormat Simple Format format Java JDK Javadoc Simple FastDateFormat Fast Format formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Integer case Format NumberUtils Number Utils NumberFormatException Number Format Exception decode hex createNumber create Number Utils	NumberUtils handle upper case hex Number Utils
747	Integer numbers Number NumberUtils Number Utils create hex octal handle createNumber create Number decode	NumberUtils handle Long Hex numbers Number Utils
788	Class Object class Exception primitive Input Serialization Type primitiveType primitive Type Utils	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random Int int null nextInt Int pass char chars exception ends	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Exception Int RandomUtils Random Utils Illegal Utils nextInt Int Argument invokes throws	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Exception Decimal returns create NumberUtils Number Utils BigDecimal Big Decimal behaviour Format createNumber create Number	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	Format space Parser treat characters Simple parse FastDateParser Fast Parser treats parsed	FastDateParser handle white space properly Fast Parser
832	format Format works Simple handled SimpleDateFormat Simple Format parse correctly Parser FastDateParser Fast Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String code hash work char Code translate equals method	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
