59	Utils DAY Equals buggy MDT hours Calendar method oct MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
662	Integer Fraction MIN method case code void test int factory	org apache commons lang math Fraction reduce Integer MIN
664	code Number change String Digit return foundDigit Digit Exp isNumber Number hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	Time Calendar Utils method False HOUR isSameLocalTime Local Time Local Millis Instance	DateUtils isSameLocalTime work correct Utils Local Time
719	Format Java SimpleDateFormat Simple Format year pattern number bug Simple format FastDateFormat Fast Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case Utils Integer Format NumberFormatException Number Format Exception createNumber create Number hex decode upper	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers Long hex Utils NumberUtils Number Utils createNumber create Number createInteger create Integer create	NumberUtils handle Long Hex numbers Number Utils
788	Class Exception Input class Stream Type Utils Object Serialization ClassNotFoundException Class Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int pass code ends user char nextInt Int int length lang	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils String problem Illegal lang Argument Exception RandomUtils Random Utils source	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big behaviour Decimal Exception BigDecimal Big Decimal returns Utils Format Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	Parser Format FDP space FastDateParser Fast Parser SDP characters Simple white treat	FastDateParser handle white space properly Fast Parser
832	format Format FastDateParser Fast Parser parse Simple correctly works Parser handled quotes	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String work Code code hash CharSequence Char Sequence object char Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
