59	DateUtils Utils MDT truncate Calendar hour oct lang MST result method	lang DateUtils truncate method buggy dealing DST switching hours Utils
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number String digit NumberUtils Number Utils thows LANG Number Bounds Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Message ExtendedMessageFormat Extended Message Format Format Extended format ExtendedMessageFormatTest Extended Message Format Test custom String formatRegistry format Registry pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode StringEscapeUtils String Escape Utils String characters utf incorrectly Html println Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number NumberUtils Number Utils number decimal return Return Decimal True Digit	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone GMT format dateTime Time getTimeZone Time Zone DateFormatUtils Format Utils Format GregorianCalendar Gregorian Calendar	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils replacement replace replacementList replacement List null Utils Test result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory ThreadLocals Thread Locals created thread HashCodeBuilder Hash Code Builder trigger leak builder String	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object ClassUtils Class Utils throws NPE null Class array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberUtils Number Utils Number throws NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week SimpleDateFormat Simple Format locale Format Week Fast Locale firstDayOfWeek Day Week format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer apache getDenominator Denominator commons Denominator FractionTest Fraction Test org test denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils String Digit return foundDigit Digit Utils hasExp Exp Java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Time Utils Local class work method correct setTimeInMillis set Time Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	year FastDateFormat Fast Format Format YYY Java SimpleDateFormat Simple Format formats JDK format Javadoc	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	NumberUtils Number Utils Number handle upper createNumber create Number case Integer hex NumberFormatException Number Format Exception	NumberUtils handle upper case hex Number Utils
747	NumberUtils Number Utils Number numbers Integer create Long handle createNumber create Number createLong create Long hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils primitive ClassNotFoundException Class Exception primitiveTypeClassSerialization primitive Type Class Serialization ObjectInputStream Object Input Stream primitiveType primitive Type class SerializationUtilsTest Serialization Utils Test	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars length null char empty code size Int false	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils throws confusing start RandomStringUtils Random String Utils Int nextInt Int IAE	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number NumberUtils Number Utils behaviour Decimal leading BigDecimal Big Decimal create bad NumberFormatException Number Format Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white space SimpleDateFormat Simple Format handle parse Fast treats parsed specially	FastDateParser handle white space properly Fast Parser
832	quotes SimpleDateFormat Simple Format unterminated handle FastDateParser Fast Parser handled parse correctly Fast parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String char accepts CharBuffer Char Buffer LookupTranslator Lookup Translator StringEscapeUtils String Escape Utils toString String lookupMap lookup Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
