59	MDT hour Utils DST DateUtils Utils Equals hours buggy truncate lang	lang DateUtils truncate method buggy dealing DST switching hours Utils
432	Bugs locale Case String http insensitive Common html case Bug	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Number front Bounds Exception createNumber create Number Utils don digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format ExtendedMessageFormat Extended Message Format code Format Extended String formatRegistry format Registry formattedPattern formatted Pattern QUOTE appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters String problem org escapeHtml escape Html unicode escape byte StringEscapeUtils String Escape Utils data	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	return Number isNumber Number code number Exp Point exponent Dec Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format test format TimeZone Time Zone noformat problem Zone dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String case replaceEach replace Test replacement StringUtils String Utils Utils org replacementList replacement List code	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory ToStringStyle String Style String thread LANG application web Style reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object NPE element array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	String Number Exception StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Utils NumberUtils Number Utils indicators passed NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	locale week FastDateFormat Fast Format Format format Week SimpleDateFormat Simple Format Simple println Locale	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction MIN Integer method code test case void getReducedFraction Reduced Fraction getDenominator Denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number code return String hasExp Exp isNumber Number Dec Digit hasDecPoint Dec Point java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Calendar Time Utils DateUtils Utils Local HOUR method False class	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Java SimpleDateFormat Simple Format year bug number Format FastDateFormat Fast Format behavior Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberFormatException Number Format Exception Integer case createNumber create Number Format Utils upper decode NumberUtils Number Utils	NumberUtils handle upper case hex Number Utils
747	Long Integer Number hex numbers createLong create Long createNumber create Number Hex check create	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception noformat Serialization Exception SerializationUtils Serialization Utils class ObjectInputStream Object Input Stream clone Loader	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code start Int ends array gap pass Utils String lang	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception String Illegal start confusing	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal behaviour createNumber create Number work Java Format invocations create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser dates space FDP Format white Javadoc Fast parse Parser	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple unterminated Format FastDateParser Fast Parser SimpleDateFormat Simple Format Fast handle	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work code CharBuffer Char Buffer Map Sequence translate quote	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
