59	Calendar DateUtils Utils MST assertEquals assert Equals MDT assert	lang DateUtils truncate method buggy dealing DST switching hours Utils
380	Summary Fraction numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal comparing Decimal compareTo compare EqualsBuilder Equals Builder Decimals BigDecimals Big Decimals Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	Word string String WordUtils Word Utils str abbreviate	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug string insensitive html String sensitive http Case case	case insensitive string handling
457	createNumber create Number StringIndexOutOfBoundsException String Bounds Exception digit Number LANG Exception String NumberUtils Number Utils Bounds	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry FORMAT HashMap Hash Map formatted dummy formattedPattern formatted Pattern borderStyle border Style escaping	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	utf escapeHtml escape Html unicode Characters String StringEscapeUtils String Escape Utils Html characters escape Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number Number NumberUtils Number Utils decimal Decimal isNumber Number hasDecPoint Dec Point dec point points	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time getTimeZone Time Zone GregorianCalendar Gregorian Calendar TimeZone Time Zone testFormat test Format GMT assert test format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replace replaceEach replace replacementList replacement List replacement StringUtils String Utils searchList search List Assert assert assertEquals assert Equals	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	webapp ToStringStyle String Style remove memory ThreadLocals Thread Locals thread web leak Thread commons	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number NumberUtils Number Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Week week FastDateFormat Fast Format Locale Days SimpleDateFormat Simple Format program locale format simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction FractionTest Fraction Test getDenominator Denominator Denominator borderStyle border Style Integer case denominator int border	org apache commons lang math Fraction reduce Integer MIN
664	Number hasDecPoint Dec Point NumberUtils Number Utils hasExp Exp isNumber Number	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False Assert isSameLocalTime Local Time assert DateUtils Utils setTimeInMillis set Time Millis Calendar DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	Javadoc JDK Format FastDateFormat Fast Format format SimpleDateFormat Simple Format formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils Integer	NumberUtils handle upper case hex Number Utils
747	Number NumberUtils Number Utils createLong create Long numbers Integer handles Long create createNumber create Number handle	NumberUtils handle Long Hex numbers Number Utils
788	Serialization primitiveType primitive Type ObjectInputStream Object Input Stream Class classLoader class Loader SerializationUtilsTest Serialization Utils Test SerializationUtils Serialization Utils bug primitiveTypeClassSerialization primitive Type Class Serialization resoleClass resole Class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	empty Int length random null size int nextInt Int Random RandomStringUtils Random String Utils	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Int nextInt Int RandomStringUtils Random String Utils	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils Decimal createNumber create Number BigDecimal Big Decimal	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse SimpleDateFormat Simple Format FastDateParser Fast Parser treat treats parsed FDP SDP	FastDateParser handle white space properly Fast Parser
832	quotes parse SimpleDateFormat Simple Format works format handle unterminated Parser Simple correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	String lookupMap lookup Map Char StringEscapeUtils String Escape Utils hashCode hash Code HashMap Hash Map char Escape CharSequence Char Sequence Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
