59	DateUtils Utils DAY oct MDT truncate Calendar hour result assert switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
477	Format format ExtendedMessageFormat Extended Message Format Extended formatted formatRegistry format Registry formattedPattern formatted Pattern DummyFormatFactory Dummy Format Factory String code	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode escapeHtml escape Html String utf characters escape StringEscapeUtils String Escape Utils UTF incorrectly displays	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	decimal Number number isNumber Number Decimal BigDecimal Big Decimal Dec return chars exponent	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time Format TimeZone Time Zone GMT format dateTime Time time GregorianCalendar Gregorian Calendar noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replace replaceEach replace replacementList replacement List StringUtils String Utils Test null Utils org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style String memory org created thread LANG Code application fdrsqgbh	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws NPE null Utils ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number StringIndexOutOfBoundsException String Bounds Exception NumberFormatException Number Format Exception String NumberUtils Number Utils throws passed Utils Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Week SimpleDateFormat Simple Format FastDateFormat Fast Format Format format locale Locale Fast output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test getDenominator Denominator MIN int Reduced FractionTest Fraction Test method result	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number Digit Exp code NumberUtils Number Utils hasExp Exp String return chars	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Calendar method DAY Utils HOUR setTimeInMillis set Time Millis cal	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java format Fast pattern YYY bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils Integer createNumber create Number NumberFormatException Number Format Exception upper decode Format case handles	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers NumberUtils Number Utils createNumber create Number Long createLong create Long hex create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception class ObjectInputStream Object Input Stream primitive ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream noformat clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	chars random Int null int empty exception code array useless	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal IllegalArgumentException Illegal Argument Exception Exception throws confusing RandomUtils Random Utils lang Argument	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal create Big behaviour leading nulll NumberUtils Number Utils work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse Format parsed white SimpleDateFormat Simple Format space Fast treat Parser	FastDateParser handle white space properly Fast Parser
832	format SimpleDateFormat Simple Format parse unterminated quotes Format Simple Fast parsed handle	FastDateParser handle unterminated quotes correctly Fast Parser
882	String Char CharSequence Char Sequence code CharBuffer Char Buffer char StringEscapeUtils String Escape Utils translate text Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
