59	truncate DateUtils Utils MDT hour oct result assert lang switching method	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	createNumber create Number Number throws StringIndexOutOfBoundsException String Bounds Exception String passed NumberUtils Number Utils Exception argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week locale Fast format SimpleDateFormat Simple Format Format year output Locale	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	apache Integer MIN commons Fraction test Reduced method result code	org apache commons lang math Fraction reduce Integer MIN
664	String Number isNumber Number return code chars hasExp Exp Dec Exp NumberUtils Number Utils	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Local method class Time work Calendar cal	DateUtils isSameLocalTime work correct Utils Local Time
719	Java year SimpleDateFormat Simple Format FastDateFormat Fast Format Fast pattern formats adjusted Format Simple	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	upper handle NumberUtils Number Utils Number NumberFormatException Number Format Exception case Integer decode Format handles	NumberUtils handle upper case hex Number Utils
747	Long handle create hex numbers NumberUtils Number Utils Number Integer createLong create Long createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class SerializationUtils Serialization Utils ClassNotFoundException Class Exception Serialization primitive class noformat clone Exception bug	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code false lang array start Bounds Array Utils	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws confusing start Utils Argument lang Illegal IllegalArgumentException Illegal Argument Exception source	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number behaviour leading create BigDecimal Big Decimal Big NumberUtils Number Utils nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	white space FastDateParser Fast Parser Fast handle parse parsed treats dates fail	FastDateParser handle white space properly Fast Parser
832	unterminated quotes handle handled Fast format correctly Simple parse FastDateParser Fast Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String code work accepts translate quote LookupTranslator Lookup Translator equals	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
