59	switching DateUtils Utils dealing method MDT truncate Calendar assert hour Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
645	Week week output Locale Format FastDateFormat Fast Format locale SimpleDateFormat Simple Format format program	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction test Integer case Reduced code borderStyle border Style getDenominator Denominator assert FractionTest Fraction Test	org apache commons lang math Fraction reduce Integer MIN
664	code hasExp Exp Number Digit isNumber Number String foundDigit Digit return java chars	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time method Utils assertFalse assert False DateUtils Utils Calendar cal Assert set	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java pattern Fast Javadoc bug behavior	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Integer upper decode Format handles create	NumberUtils handle upper case hex Number Utils
747	Integer Number createNumber create Number numbers create NumberUtils Number Utils handle createLong create Long handles Long	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception class bug catch ObjectInputStream Object Input Stream Type resolveClass resolve Class java	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int empty Array random char useless lang chars RandomStringUtils Random String Utils code	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils confusing throws RandomStringUtils Random String Utils nextInt Int Argument lang start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal create Big behaviour leading nulll work check	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse treat parsed treats white space Fast FastDateParser Fast Parser FDP dates	FastDateParser handle white space properly Fast Parser
832	format unterminated parse quotes handle works Simple correctly Parser fail	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String equals CharBuffer Char Buffer work instances implemented implementation char	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
