59	Utils MDT Calendar method switching Equals assertEquals assert Equals dealing DateUtils Utils lang	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	Number createNumber create Number NumberUtils Number Utils NumberFormatException Number Format Exception Exception String StringIndexOutOfBoundsException String Bounds Exception Format Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week Week FastDateFormat Fast Format locale Simple output Locale firstDayOfWeek Day Week format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test case code getDenominator Denominator FractionTest Fraction Test Factory Style factory	org apache commons lang math Fraction reduce Integer MIN
664	code hasExp Exp Number Digit java hasDecPoint Dec Point return foundDigit Digit isNumber Number change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time method Utils Calendar Local assertFalse assert False DateUtils Utils Millis HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	Format year SimpleDateFormat Simple Format FastDateFormat Fast Format pattern Java YYY Javadoc JDK number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils case Utils Integer create Format Exception	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers createNumber create Number createLong create Long Long Utils hex NumberUtils Number Utils handles	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization class ClassNotFoundException Class Exception Type Utils ObjectInputStream Object Input Stream resolveClass resolve Class Stream primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int char RandomStringUtils Random String Utils length nextInt Int int size code ends pass	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils String Utils RandomStringUtils Random String Utils nextInt Int source problem lang IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Decimal Big behaviour NumberUtils Number Utils work NumberFormatException Number Format Exception Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FDP FastDateParser Fast Parser treat SDP parse Parser treats SimpleDateFormat Simple Format dates Format	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple Format works handle Parser FastDateParser Fast Parser unterminated	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer work hash Map char implementation hashCode hash Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
