59	DateUtils Utils MDT truncate Calendar hour oct lang MST result method	lang DateUtils truncate method buggy dealing DST switching hours Utils
432	insensitive Bug case string Bugs intended handling html String sensitive	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number String digit NumberUtils Number Utils thows LANG Number Bounds Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format formatRegistry format Registry Extended Message FORMAT custom formatted String	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode StringEscapeUtils String Escape Utils String characters utf incorrectly Html println Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number NumberUtils Number Utils number decimal return Return True Decimal Digit	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone format GMT getTimeZone Time Zone GregorianCalendar Gregorian Calendar Format DateFormatUtils Format Utils Gregorian	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String StringUtils String Utils replaceEach replace replace null Utils replacementList replacement List result replacement Bug	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory ThreadLocals Thread Locals created thread HashCodeBuilder Hash Code Builder trigger leak builder String	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object ClassUtils Class Utils throws NPE null Class array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils createNumber create Number Number throws StringIndexOutOfBoundsException String Bounds Exception String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week SimpleDateFormat Simple Format locale Format Locale format Week Fast Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer apache getDenominator Denominator commons Denominator org FractionTest Fraction Test denominator MIN	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils String return Utils Java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Assert Local assert class work assertFalse assert False method	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Format JDK year SimpleDateFormat Simple Format Java format Javadoc formats Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	NumberUtils Number Utils Number handle upper createNumber create Number case hex Integer	NumberUtils handle upper case hex Number Utils
747	NumberUtils Number Utils Number numbers Long handle createNumber create Number Integer create createLong create Long hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtils Serialization Utils Class primitive primitiveType primitive Type ClassNotFoundException Class Exception ObjectInputStream Object Input Stream SerializationUtilsTest Serialization Utils Test Utils primitiveTypeClassSerialization primitive Type Class Serialization	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars null empty length code size Int false int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils throws confusing start Int RandomStringUtils Random String Utils Utils nextInt Int IAE	RandomStringUtils throws confusing IAE start Random String Utils
822	NumberUtils Number Utils createNumber create Number Number behaviour leading Decimal bad create BigDecimal Big Decimal checks	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white space SimpleDateFormat Simple Format handle parse Fast treats parsed specially	FastDateParser handle white space properly Fast Parser
832	quotes SimpleDateFormat Simple Format unterminated handle FastDateParser Fast Parser handled parse correctly Fast parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String StringEscapeUtils String Escape Utils accepts char LookupTranslator Lookup Translator lookupMap lookup Map HashMap Hash Map hashCode hash Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
