59	DateUtils Utils Calendar truncate MDT assertEquals assert Equals hour oct lang MST result	lang DateUtils truncate method buggy dealing DST switching hours Utils
480	escapeHtml escape Html String StringEscapeUtils String Escape Utils unicode characters Characters incorrectly utf Escape escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number NumberUtils Number Utils isNumber Number number Decimal decimal hasDecPoint Dec Point return dec point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar format Format Zone test GregorianCalendar Gregorian Calendar TimeZone Time Zone testFormat test Format assert	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replace replacementList replacement List replacement StringUtils String Utils null Utils result searchList search List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ThreadLocals Thread Locals webapp ToStringStyle String Style memory remove created HashCodeBuilder Hash Code Builder web trigger Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class ClassUtils Class Utils Class Object throws NPE null array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberUtils Number Utils throws StringIndexOutOfBoundsException String Bounds Exception String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format format Format locale output Locale program Week Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction apache FractionTest Fraction Test Integer borderStyle border Style commons case border org getDenominator Denominator	org apache commons lang math Fraction reduce Integer MIN
664	isNumber Number Number hasDecPoint Dec Point String hasExp Exp NumberUtils Number Utils return Utils Java	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False isSameLocalTime Local Time DateUtils Utils Utils Local Assert class work method assert	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Format SimpleDateFormat Simple Format formats year Java Javadoc Fast JDK adjusted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	NumberUtils Number Utils Number handle upper createNumber create Number case hex Integer	NumberUtils handle upper case hex Number Utils
747	NumberUtils Number Utils Number create handle Long createLong create Long numbers handles hex createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils throws primitive bug classLoader class Loader primitiveType primitive Type ObjectInputStream Object Input Stream resoleClass resole Class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random RandomStringUtils Random String Utils Int chars empty code nextInt Int Random false length	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws nextInt Int confusing RandomStringUtils Random String Utils Int start RandomUtils Random Utils Utils IAE	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils createNumber create Number Decimal behaviour leading bad create BigDecimal Big Decimal checks	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	treats treat white parse space FastDateParser Fast Parser handle FDP parsed Fast	FastDateParser handle white space properly Fast Parser
832	handle unterminated quotes works correctly format handled parse FastDateParser Fast Parser Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String hashCode hash Code work Escape lookupMap lookup Map HashMap Hash Map escapeHtml escape Html Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
