59	MDT DateUtils Utils MST truncate hour result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
480	unicode utf characters escape String incorrectly displays problem escapeHtml escape Html commons	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	decimal number Number return Digit chars exponent Point isNumber Number Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone GMT GregorianCalendar Gregorian Calendar noformat test Format dateTime Time format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replace replacement StringUtils String Utils String replaceEach replace null case replacementList replacement List Test result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread org created String LANG leak Code application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws NPE null Utils ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils String StringIndexOutOfBoundsException String Bounds Exception passed Exception createNumber create Number throws argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format SimpleDateFormat Simple Format week Week locale Locale format Fast firstDayOfWeek Day Week output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Integer MIN test Reduced method result FractionTest Fraction Test code	org apache commons lang math Fraction reduce Integer MIN
664	Number code NumberUtils Number Utils String return chars hasExp Exp Dec Exp isNumber Number	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils assertFalse assert False Calendar assert Assert Utils Time cal method	DateUtils isSameLocalTime work correct Utils Local Time
719	JDK Java SimpleDateFormat Simple Format pattern year Javadoc Format format FastDateFormat Fast Format Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils Integer upper NumberFormatException Number Format Exception decode Format handles createNumber create Number work	NumberUtils handle upper case hex Number Utils
747	Number numbers Integer NumberUtils Number Utils Long createLong create Long hex create handle createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtils Serialization Utils Class ObjectInputStream Object Input Stream primitive primitiveType primitive Type ClassNotFoundException Class Exception noformat class bug	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars null empty Int array code lang start length	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils confusing throws Utils Argument lang start Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils BigDecimal Big Decimal Big behaviour create leading createNumber create Number nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse parsed white space Fast SimpleDateFormat Simple Format dates fail Javadoc	FastDateParser handle white space properly Fast Parser
832	quotes SimpleDateFormat Simple Format parse format unterminated Simple Fast handle handled parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char char CharSequence Char Sequence String code lookupMap lookup Map translate quote HashMap Hash Map work	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
