59	MDT MST truncate hour DateUtils Utils result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
552	replace String replacement StringUtils String Utils searchList search List null replaceEach replace case replacementList replacement List Test	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	remove org ToStringStyle String Style memory created String thread LANG Code application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws NPE null Utils ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String StringIndexOutOfBoundsException String Bounds Exception passed Exception createNumber create Number throws argument NumberUtils Number Utils NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Locale FastDateFormat Fast Format format locale SimpleDateFormat Simple Format week Week firstDayOfWeek Day Week Format Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction test case getDenominator Denominator Integer int MIN Test Reduced method	org apache commons lang math Fraction reduce Integer MIN
664	Number code String return chars hasExp Exp Dec Exp isNumber Number Digit	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False isSameLocalTime Local Time DateUtils Utils Utils Time Calendar Assert cal method set	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java pattern Javadoc year Fast bug behavior	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Integer upper NumberUtils Number Utils NumberFormatException Number Format Exception decode Format handles createNumber create Number work	NumberUtils handle upper case hex Number Utils
747	numbers Number createLong create Long Long handle Integer handles hex NumberUtils Number Utils create	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ObjectInputStream Object Input Stream bug primitiveType primitive Type primitive SerializationUtils Serialization Utils classLoader class Loader ClassNotFoundException Class Exception noformat	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random Int empty Random chars code lang array start Bounds	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils confusing throws Utils Argument lang start Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number BigDecimal Big Decimal Big behaviour create leading createNumber create Number nulll work check	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse treat parsed treats white space FastDateParser Fast Parser Fast dates fail	FastDateParser handle white space properly Fast Parser
832	format unterminated parse quotes handle works Simple correctly Parser fail	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char work equals Escape CharSequence Char Sequence lookupMap lookup Map String HashMap Hash Map Buffer code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
