59	Equals DAY MDT Utils DST assertEquals assert Equals Calendar hours dealing DateUtils Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
477	format Format code Message String Style Extended ExtendedMessageFormat Extended Message Format formattedPattern formatted Pattern appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters escapeHtml escape Html Html StringEscapeUtils String Escape Utils class unicode org void Exception	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	isNumber Number Number Exp number Digit NumberUtils Number Utils Decimal decimal return points	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format test TimeZone Time Zone Zone problem time getTimeZone Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	Utils replacement String Test org replacementList replacement List replaceEach replace searchList search List null Assert	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory org String application web reference Hash Code Thread thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class Utils Object toClass Class NPE ClassUtils Class Utils element throws array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils String Number Utils Exception createNumber create Number StringIndexOutOfBoundsException String Bounds Exception NumberFormatException Number Format Exception throws Format	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week Week Simple format locale FastDateFormat Fast Format SimpleDateFormat Simple Format code void	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN method case void test int getDenominator Denominator FractionTest Fraction Test	org apache commons lang math Fraction reduce Integer MIN
664	code return hasExp Exp java Digit change NumberUtils Number Utils Number String hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	Time isSameLocalTime Local Time False method Calendar DAY setTimeInMillis set Time Millis Utils Local HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	Java Format SimpleDateFormat Simple Format pattern year FastDateFormat Fast Format format YYY number bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Utils case createNumber create Number NumberUtils Number Utils NumberFormatException Number Format Exception Format decode Integer handle	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers Long createNumber create Number createLong create Long NumberUtils Number Utils Utils hex Java	NumberUtils handle Long Hex numbers Number Utils
788	Class Exception ClassNotFoundException Class Exception class Type Object Stream ObjectInputStream Object Input Stream java problem	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int pass int char RandomStringUtils Random String Utils nextInt Int length code ends ArrayIndexOutOfBoundsException Array Bounds Exception	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Utils Random source Illegal problem String lang Exception IllegalArgumentException Illegal Argument Exception Argument	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Decimal Exception Utils Big NumberUtils Number Utils behaviour Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Parser FDP Format SDP treats number treat dates single	FastDateParser handle white space properly Fast Parser
832	format FastDateParser Fast Parser Format parse SimpleDateFormat Simple Format unterminated handled quotes Parser Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String work hash CharBuffer Char Buffer Code code char Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
