59	MDT hour lang DateUtils Utils truncate Utils buggy Equals DST oct	lang DateUtils truncate method buggy dealing DST switching hours Utils
719	Java year SimpleDateFormat Simple Format pattern Format FastDateFormat Fast Format formats format Simple number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	case Number handle NumberUtils Number Utils upper Utils NumberFormatException Number Format Exception createNumber create Number Integer Format	NumberUtils handle upper case hex Number Utils
747	Long Number hex numbers createLong create Long Integer NumberUtils Number Utils handle createNumber create Number Hex	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception SerializationUtils Serialization Utils class Utils noformat clone Exception Input	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code random ends Int nextInt Int pass RandomStringUtils Random String Utils chars start user	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils start String throws source problem confusing lang RandomStringUtils Random String Utils	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number behaviour NumberUtils Number Utils Big BigDecimal Big Decimal Decimal work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space FDP white Parser dates SDP handle Format Fast	FastDateParser handle white space properly Fast Parser
832	FastDateParser Fast Parser quotes format unterminated handle parse Format Simple handled SimpleDateFormat Simple Format	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String Sequence work accepts Map CharBuffer Char Buffer Utils LookupTranslator Lookup Translator	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
