59	DateUtils Utils oct MDT truncate DAY hour Calendar lang result MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	createNumber create Number NumberUtils Number Utils Number throws StringIndexOutOfBoundsException String Bounds Exception NumberFormatException Number Format Exception String Utils passed exponent	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format FastDateFormat Fast Format SimpleDateFormat Simple Format format locale Week Fast firstDayOfWeek Day Week minimalDaysInFirstWeek minimal Days Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction apache commons getDenominator Denominator Denominator MIN org FractionTest Fraction Test test	org apache commons lang math Fraction reduce Integer MIN
664	isNumber Number Number NumberUtils Number Utils String Utils Digit Exp return exponent hasExp Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Time Local Utils DAY method setTimeInMillis set Time Millis class work	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Format year SimpleDateFormat Simple Format Java format formats YYY Fast adjusted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	NumberUtils Number Utils Number handle upper case createNumber create Number Integer NumberFormatException Number Format Exception hex Exception	NumberUtils handle upper case hex Number Utils
747	NumberUtils Number Utils Number numbers Long Integer createNumber create Number create handle createLong create Long hex	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception class primitive ObjectInputStream Object Input Stream primitiveTypeClassSerialization primitive Type Class Serialization SerializationUtilsTest Serialization Utils Test clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	chars random Int int null code empty false useless char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws Utils RandomUtils Random Utils Exception Int confusing start Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number NumberUtils Number Utils Decimal behaviour leading BigDecimal Big Decimal bad NumberFormatException Number Format Exception create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white space SimpleDateFormat Simple Format Parser handle Format parse treats Fast	FastDateParser handle white space properly Fast Parser
832	SimpleDateFormat Simple Format unterminated handle format quotes FastDateParser Fast Parser Format handled correctly parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String char CharBuffer Char Buffer StringEscapeUtils String Escape Utils code accepts text Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
