59	MDT DAY hour Utils oct DST DateUtils Utils Equals hours buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
457	StringIndexOutOfBoundsException String Bounds Exception String thows Number Utils front Bounds Exception createNumber create Number don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format String QUOTE Dummy ExtendedMessageFormat Extended Message Format code Extended formatRegistry format Registry append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode characters String org Utils data byte escape problem COUNTING	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number return number Decimal isNumber Number point code Exp Point exponent	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Format Calendar problem format test Zone zone TimeZone Time Zone noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement case replaceEach replace replace org Test StringUtils String Utils Utils replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org String memory Thread ToStringStyle String Style thread web LANG Style application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class Utils Object toClass Class NPE element array throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	String Number Exception Format StringIndexOutOfBoundsException String Bounds Exception Utils createNumber create Number NumberUtils Number Utils indicators passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format locale Week format FastDateFormat Fast Format Simple SimpleDateFormat Simple Format set year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	method case test Fraction MIN Integer code apache void getReducedFraction Reduced Fraction	org apache commons lang math Fraction reduce Integer MIN
664	return Number code change String hasExp Exp isNumber Number Dec Digit hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	HOUR isSameLocalTime Local Time Calendar Time Utils DateUtils Utils False Local method Assert	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Format Java SimpleDateFormat Simple Format year behavior bug number Javadoc formatted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number handles NumberFormatException Number Format Exception Integer case createNumber create Number Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Number hex numbers Long Integer createLong create Long handle createNumber create Number Hex digits	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization Exception ClassNotFoundException Class Exception bug noformat clone class Object SerializationUtils Serialization Utils	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	ends code start int random Int Random array char length	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Argument Utils Random Illegal lang source IllegalArgumentException Illegal Argument Exception String start confusing	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal behaviour createNumber create Number Format Javadoc work Java invocations	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	Parser FDP FastDateParser Fast Parser parse dates treat space Format parsed Javadoc	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple unterminated handle works Format Parser correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char work CharSequence Char Sequence String code Utils equals implemented Sequence Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
