59	MDT Utils hour Equals DateUtils Utils DST lang buggy Calendar switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
419	string str length String Word StringIndexOutOfBoundsException String Bounds Exception substring upper Utils Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Case String locale http insensitive string case Bug sensitive	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Number createNumber create Number front Exception Bounds Utils NumberUtils Number Utils digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format ExtendedMessageFormat Extended Message Format Format java formatRegistry format Registry code appendTo append Extended formattedPattern formatted Pattern String	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters escapeHtml escape Html StringEscapeUtils String Escape Utils unicode problem org escape utf Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number return isNumber Number number hasExp Exp Point Exp code Decimal Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar test Format TimeZone Time Zone Zone format problem noformat dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement Utils replaceEach replace Test replacementList replacement List case searchList search List StringUtils String Utils org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory String ToStringStyle String Style application thread LANG web Hash Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object Utils NPE element array throws ClassUtils Class Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String Exception createNumber create Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils NumberFormatException Number Format Exception Utils Format indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week locale FastDateFormat Fast Format Week format Simple Locale SimpleDateFormat Simple Format output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test code case MIN method getDenominator Denominator void getReducedFraction Reduced Fraction	org apache commons lang math Fraction reduce Integer MIN
664	code Number return hasExp Exp Digit java String hasDecPoint Dec Point isNumber Number Dec	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils Calendar method DateUtils Utils Local HOUR False Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	year pattern Java SimpleDateFormat Simple Format Format number bug FastDateFormat Fast Format YYY format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberFormatException Number Format Exception createNumber create Number case Integer Utils NumberUtils Number Utils Format upper decode	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers Long hex createLong create Long createNumber create Number Hex NumberUtils Number Utils Utils	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception Serialization class Exception ObjectInputStream Object Input Stream noformat SerializationUtils Serialization Utils Type primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code start char ends array length gap pass nextInt Int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils String lang source Argument IllegalArgumentException Illegal Argument Exception RandomUtils Random Utils Illegal problem	RandomStringUtils throws confusing IAE start Random String Utils
822	Number BigDecimal Big Decimal createNumber create Number Big behaviour work Decimal Java Utils Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP dates space Format parse Parser SDP treat parsed	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple Format unterminated FastDateParser Fast Parser handle SimpleDateFormat Simple Format Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work CharBuffer Char Buffer Map code Sequence char hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
