59	MDT Utils hour DateUtils Utils Equals Calendar DST lang buggy hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
587	Class toClass Class NPE Object element Utils array ClassUtils Class Utils throws null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String Exception createNumber create Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils Utils Format indicators NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week locale FastDateFormat Fast Format Format format Week Simple Locale SimpleDateFormat Simple Format import	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer case MIN method getDenominator Denominator code test void getReducedFraction Reduced Fraction	org apache commons lang math Fraction reduce Integer MIN
664	Number return hasDecPoint Dec Point code hasExp Exp String isNumber Number java Digit Dec	NumberUtils isNumber String String Number Utils Number
677	Calendar isSameLocalTime Local Time Time Utils Local DateUtils Utils HOUR method assertFalse assert False False	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern SimpleDateFormat Simple Format Java Format year number bug FastDateFormat Fast Format format YYY	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberFormatException Number Format Exception case Integer Utils NumberUtils Number Utils Format upper decode	NumberUtils handle upper case hex Number Utils
747	Number Long Integer createLong create Long hex numbers createNumber create Number NumberUtils Number Utils Hex create	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception ObjectInputStream Object Input Stream Exception noformat SerializationUtils Serialization Utils class primitiveType primitive Type Loader	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code start ends array gap length pass Random char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils lang source String Argument IllegalArgumentException Illegal Argument Exception Illegal problem nextInt Int	RandomStringUtils throws confusing IAE start Random String Utils
822	Number BigDecimal Big Decimal Big createNumber create Number behaviour Decimal work Java Utils Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP dates space Format parse Parser SDP treat parsed	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple Format unterminated FastDateParser Fast Parser handle SimpleDateFormat Simple Format Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence String Char work CharBuffer Char Buffer Map Buffer code Sequence char	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
