59	MDT Utils Equals hour DAY DST DateUtils Utils hours lang buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
480	String characters escapeHtml escape Html org StringEscapeUtils String Escape Utils unicode problem void escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number Exp return number code Point Decimal Dec Digit	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format test format TimeZone Time Zone Zone problem GMT time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement Utils Test replaceEach replace org replacementList replacement List case StringUtils String Utils searchList search List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory String application web ToStringStyle String Style thread reference LANG Code	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object Utils NPE element array ClassUtils Class Utils throws null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	String Number Exception StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils createNumber create Number Utils NumberFormatException Number Format Exception Format throws	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format locale format FastDateFormat Fast Format Week Simple SimpleDateFormat Simple Format Locale output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN method case test void code getDenominator Denominator getReducedFraction Reduced Fraction	org apache commons lang math Fraction reduce Integer MIN
664	return code Number hasExp Exp String java Digit change hasDecPoint Dec Point Dec	NumberUtils isNumber String String Number Utils Number
677	Time isSameLocalTime Local Time Calendar Utils method Local HOUR False DateUtils Utils DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	Java pattern SimpleDateFormat Simple Format year Format FastDateFormat Fast Format number bug format YYY	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case Utils createNumber create Number NumberFormatException Number Format Exception Format Integer NumberUtils Number Utils decode upper	NumberUtils handle upper case hex Number Utils
747	Integer Number Long numbers hex createLong create Long createNumber create Number Hex NumberUtils Number Utils Utils	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception Exception class Serialization noformat ObjectInputStream Object Input Stream SerializationUtils Serialization Utils Loader Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code pass start ends int char array gap String	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils source lang Illegal String Argument problem IllegalArgumentException Illegal Argument Exception start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number BigDecimal Big Decimal createNumber create Number Big behaviour Decimal work Utils Exception Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP Parser Format dates space SDP parse parsed Javadoc	FastDateParser handle white space properly Fast Parser
832	format parse FastDateParser Fast Parser Format quotes unterminated Simple SimpleDateFormat Simple Format handled Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work code CharBuffer Char Buffer Map Code Sequence hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
