59	MDT Utils hour Equals DST lang buggy hours DateUtils Utils DAY	lang DateUtils truncate method buggy dealing DST switching hours Utils
477	format Format appendTo append ExtendedMessageFormat Extended Message Format code Extended formatRegistry format Registry String formattedPattern formatted Pattern java	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters String unicode problem org utf escape escapeHtml escape Html StringEscapeUtils String Escape Utils Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number return number isNumber Number code Point Exp Dec exponent point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone Zone test noformat GregorianCalendar Gregorian Calendar problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replaceEach replace case StringUtils String Utils Test Utils searchList search List replacementList replacement List org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory String ToStringStyle String Style thread LANG Style web application reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class NPE Object element Utils array throws ClassUtils Class Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String Exception StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils createNumber create Number Utils Format indicators NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	locale FastDateFormat Fast Format Format format week Simple Locale Week SimpleDateFormat Simple Format import	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer case test MIN method getDenominator Denominator code void getReducedFraction Reduced Fraction	org apache commons lang math Fraction reduce Integer MIN
664	Number return code String hasExp Exp hasDecPoint Dec Point java isNumber Number Digit Dec	NumberUtils isNumber String String Number Utils Number
677	Calendar isSameLocalTime Local Time Time Utils Local DateUtils Utils HOUR method assertFalse assert False False	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern SimpleDateFormat Simple Format Java Format year number bug FastDateFormat Fast Format format YYY	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Integer NumberFormatException Number Format Exception case Utils createNumber create Number Format NumberUtils Number Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Number Long numbers Integer createLong create Long hex createNumber create Number Hex handle NumberUtils Number Utils	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception ObjectInputStream Object Input Stream Exception noformat SerializationUtils Serialization Utils class primitiveType primitive Type Loader	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code start ends array gap length pass Random char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils lang source String Argument IllegalArgumentException Illegal Argument Exception RandomUtils Random Utils Illegal problem	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal behaviour createNumber create Number work Java Decimal Utils Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser dates FDP space Format parse Parser treat SDP parsed	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple Format unterminated FastDateParser Fast Parser handle SimpleDateFormat Simple Format Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence work String Map Buffer CharBuffer Char Buffer code Sequence hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
