90428	button Jabber Finish user Join hotmail jabberserver usernames character group	Bug Jabber Provider Character allowed Jabber login names
329054	Container Discovery discovery connect provider org Composite Connect IConnect containers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery Composite DiscoveryContainers Discovery Containers Container CompositeDiscoveryContainer Composite Discovery Container Containers misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container Zookeeper startup ZooDiscovery Zoo Discovery Bundle Slow timeout Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service endpoint service devsosgi services remoteserviceadmin osgi container ecf Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ecf props osgi class remoteserviceadmin property propsA props	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service status remote Call service HTTP IRemote code Remote call	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private properties service exported RSA TCK Property someProperty Property intent foo	Bug TCK RSA exports private properties
342782	set TCK properties event events RSA bundle Bug spec version	Bug TCK RSA events set properties incorrectly
369023	Trace eclipse org tracing String ecf catching NullPointerException Null Pointer Exception framework core	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service annoying NPE needed Zoodiscovery Harmless thrown unpublish Bug unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	client server high Discovery Zoo zookeeper percentage CPU processes ZooDiscovery Zoo Discovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	client content RestClientService Rest Client Service encoding Service ignores Client Type Rest Http	Bug RestClientService ignores content encoding Rest Client Service
414448	Service importService import Service matching RemoteServiceAdmin Remote Service Admin Remote imported configs Admin robust error	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel NPE update impl Impl Topics topicsAdded topics String Endpoint OSGi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE MODIFIED service OSGi Message NPE iks ethz impl receives	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org eclipse discovery Service listener Discovery Listener DiscoveryServiceListener Discovery Service Listener ecf internal	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection client Zookeeper connect Zoodiscovery services disconnect closes server remote	Bug Discovery Zookeeper Auto reconnect issue
471541	tests remote ClassCastException Class Cast Exception service problem Class JUnit failing Exception trace	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org ecf Discovery discovery provider eclipse existing obsolete remove removing	Bug remove code org eclipse ecf provider discovery
