90428	Jabber hotmail jabberserver user Provider login Character action disables group	Bug Jabber Provider Character allowed Jabber login names
233808	Discovery Test discovery provider SLP testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Service Listener IDIService IService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit usage bug Eclipse report seconds increases connect	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container Container NPE IRCChannel targetID target timeouts IRC Timeout disconnect Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI api mailing dev identity eclipse Bug	Bug api add IResourceID IResource
254833	Bundle eclipse jslp SLP BundleContext Bundle Context Discovery org slp system service	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService hostname JMDNSDiscoveryContainer JMDNSDiscovery Container Discovery registerService register Service getServiceName Service JMDNS Service IServiceInfo IService Info	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IServiceID IService service getServiceName Service discovery Service Discovery SLP IService fall fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service JMDNSDiscoveryContainer JMDNSDiscovery Container Discovery JMDNSDiscovery Info exchanges priority jmdns Container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info Info Discovery SecurityException Security Exception Security jslp IService eclipse	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error status code update NPEs SDK Release Eclipse EMF Created	NPE status code
259233	path Discovery URI discovery JMDNS lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP Discovery func Bug detail case scope aid tracker sourceforge	Bug Discovery SLP lookup scope case insensitive
265551	pause resource Pause tests entire URLRetrievePauseResumeTest URLRetrieve Pause Resume Test TIME Resume Http transfer	Bug pause reads entire resource HttpClient provider Http Client
266120	Discovery servicetypes getServiceTypeIDs Service Type IDs JmDNS DNS naming service Service authority default Type	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter class support generic GenericServerContainer Generic Server Container Container Generic Server	Bug server supporrt remoteservice container adapter generic server
270332	patch problems called fixed meaning attachment subject ECF group DocShares Doc Shares	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String LogService Log Service StringBuffer String Buffer Log details Buffer misses invokes logging	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer bug Code class impl Extension osgi ExtensionPoint Extension Point iks Wojciech	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv messages SLP jSLP SLP version Discovery Bug discard versions formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser jSLP SLP Discovery attribute Bug bad HTAB Test SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	java exception Service osgi Method Impl remotesrvs ServiceURL Service URL happen inheritance	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests DiscoveryTestsWithoutRegister Discovery Tests Register API DNS suite checks Bug Add	Bug Discovery DNS Add API checks null test suite
316595	service Discovery Defer retrieving retrieval Bug instances unit lazily request	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Discovery Property IService Bug allowed property IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	method IFooService IFoo Service foo Service OSGi rosgi Smart Proxy rosgiFoo rosgi Foo proxy	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location zookeeper discovery URI port dev bug mailing solution service	Bug discovery zookeeper location URI include port
327379	factory IRemoteCallFactory IRemote Call Factory Remote RemoteCallFactory Remote Call Factory Factory Call IRemote RestCallFactory Rest Call Factory remoteservice RemoteCalls Remote Calls	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References implementation Service osgi Remote idFilter Filter String parameter simplify simplified	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status org Status core ecf eclipse status Throwable exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite CompositeDiscoveryContainer Composite Discovery Container discovery CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator advertisers provider locator Instance	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery hostname ServiceResource Service Resource hostnames broken resource Address Listener	Bug Discovery resilient broken hostnames
329054	Container Discovery provider discovery Composite containers ecf connect IConnect CompositeDiscoveryContainer Composite Discovery Container	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Composite Container Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container Bundle startup Zookeeper Slow Container ZooDiscovery Zoo Discovery BundleActivator Bundle Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service endpoint service devsosgi osgi remoteserviceadmin ecf services container Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ServiceATracker Service ATracker Endpoint osgi EndpointDescription Endpoint Description remoteserviceadmin propsA props property	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service status Call IRemote HTTP restCall rest Call Factory RestClientService Rest Client Service Container	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private properties TCK exported someProperty Property foo intent Property Bug	Bug TCK RSA exports private properties
342782	TCK RSA properties set bundle event events Bug symbolicname version	Bug TCK RSA events set properties incorrectly
369023	Trace org NullPointerException Null Pointer Exception tracing eclipse ecf printStackTrace print Stack Trace git pluginId plugin option	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service Zoodiscovery annoying needed watchmanager Bug Harmless unpublishing unpublish	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery percentage server high Zoo CPU processes zookeeper ZooDiscovery Zoo Discovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content client encoding Service Client remoteservice org UTF Http	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin Service configs error matching import Admin Bug Remote	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE Channel String Endpoint OSGi ChannelEndpointImpl Channel Endpoint Impl ethz Impl updateTopics update Topics impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi service Message NPE ethz handleMessage handle Message Remote Bug iks	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org discovery eclipse listener Service register ecf Listener Discovery DiscoveryServiceListener Discovery Service Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper connection Zoodiscovery client application connect services case server disconnect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service ClassCastException Class Cast Exception problem JUnit Class remote JVM failing attachment	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf org Discovery eclipse discovery provider distribution remove dev removing	Bug remove code org eclipse ecf provider discovery
