90428	Jabber user hotmail button jabberserver Provider group usernames action Finish	Bug Jabber Provider Character allowed Jabber login names
296107	SLPv messages jSLP SLP version SLP Discovery Bug discard change formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags jSLP SLP Discovery bad attribute Bug HTAB Test accept	Bug Discovery jSLP Test parser bad tags SLP
302407	exception java Service Method Impl osgi remotesrvs Exception lang NoSuchMethodException Method Exception	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery DiscoveryTestsWithoutRegister Discovery Tests Register Tests API DNS suite checks Bug Add	Bug Discovery DNS Add API checks null test suite
316595	service Discovery Defer retrieving retrieval Bug unit instances request lazily	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Discovery Property IService Bug allowed property IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service method foo OSGi Service Smart proxy Proxy rosgi rosgiFoo rosgi Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location zookeeper port discovery dev URI bug interest mailing service	Bug discovery zookeeper location URI include port
327379	Remote IRemoteCallFactory IRemote Call Factory factory RemoteCallFactory Remote Call Factory Call Factory IRemote RestCallFactory Rest Call Factory remoteservice rest	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation getRemoteServiceReferences Remote Service References Remote Service osgi idFilter Filter String parameter simplified Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status org core eclipse Status status Throwable ecf exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite CompositeDiscoveryContainer Composite Discovery Container discovery advertisers CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator provider locator eclipse	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery hostnames broken hostname ServiceResource Service Resource Listener Inet Address	Bug Discovery resilient broken hostnames
329054	Container Discovery provider discovery Composite containers ecf connect org IConnect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery Composite CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Container Containers misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container Bundle startup Zookeeper Container Slow ZooDiscovery Zoo Discovery BundleActivator Bundle Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service endpoint service devsosgi osgi remoteserviceadmin ecf services container Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service Endpoint EndpointDescription Endpoint Description services osgi remoteserviceadmin propsA props ServiceATracker Service ATracker	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	status Service Call service HTTP IRemote restCall rest Call Factory RestClientService Rest Client Service Remote	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties private someProperty Property foo service TCK exported intent Property	Bug TCK RSA exports private properties
342782	TCK RSA set properties bundle event events Bug spec symbolicname	Bug TCK RSA events set properties incorrectly
369023	Trace org eclipse ecf tracing method NullPointerException Null Pointer Exception printStackTrace print Stack Trace pluginId plugin framework	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service NPE annoying Zoodiscovery watchmanager needed Bug unpublish Harmless thrown	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery percentage server high CPU Zoo zookeeper ZooDiscovery Zoo Discovery Bug	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content client encoding Service Client remoteservice org Type Http	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service RemoteServiceAdmin Remote Service Admin configs matching error Remote import Admin Bug	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE Channel String Impl ethz OSGi impl Endpoint Topics update	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi service Message NPE ethz MODIFIED handleMessage handle Message Remote Bug	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org eclipse discovery Service listener ecf Listener register Discovery DiscoveryServiceListener Discovery Service Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper connection Zoodiscovery client services connect case application disconnect closes	Bug Discovery Zookeeper Auto reconnect issue
471541	tests ClassCastException Class Cast Exception service problem JUnit remote Class test JVM trace	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org ecf Discovery eclipse distribution discovery provider dev remove Composite	Bug remove code org eclipse ecf provider discovery
