90428	Jabber button Provider action login hotmail user Character disables group	Bug Jabber Provider Character allowed Jabber login names
316595	service Discovery Defer retrieval Bug lazily unit retrieving request instances	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IService Discovery Bug allowed IServiceProperty IService Property property Property	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service foo Service OSGi method rosgi Proxy Smart IFoo SmartProxyService Smart Proxy Service	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	dev mailing location discovery zookeeper solution bug eclipse html problem	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory Remote factory RemoteCallFactory Remote Call Factory Factory IRemote Call RemoteCalls Remote Calls rest remoteservice	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation osgi getRemoteServiceReferences Remote Service References Remote idFilter Filter Service String incorrect parameter simplify	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable org SerializableStatus Serializable Status Status core eclipse ecf status null Throwable	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Composite Discovery CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Instance discovery createInstance create Instance advertisers eclipse	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service ServiceResource Service Resource discovery resource ecf broken Address Resource hostnames	Bug Discovery resilient broken hostnames
329054	Container provider Discovery Composite discovery connect containers IConnect ecf org	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Composite Discovery Container DiscoveryContainers Discovery Containers Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery BundleActivator Bundle Activator ZooDiscovery Zoo Discovery startup Bundle Zookeeper start Slow ZooDiscoveryContainer Zoo Discovery Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service osgi devsosgi ecf service endpoint ERROR remoteserviceadmin services Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ecf props propsA props osgi Context ServiceATracker Service ATracker Endpoint	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote status Call containerFactory container Factory HTTP restCall rest Call adapter dbUrl Url	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA someProperty Property properties private TCK foo intent Property Bug exports	Bug TCK RSA exports private properties
342782	RSA TCK set bundle properties Bug events event symbolicname incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace org pluginId plugin NullPointerException Null Pointer Exception eclipse method tracing printStackTrace print Stack Trace ecf Null	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE annoying Zoodiscovery service watchmanager Bug Harmless unpublishing unpublish needed	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery percentage ZooDiscovery Zoo Discovery Zoo server zookeeper high Bug CPU	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content client IRemoteCallable IRemote Callable Service Client remoteservice encoding UTF Rest	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service configs RemoteServiceAdmin Remote Service Admin error import matching Bug Remote robust	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	OSGi NPE Impl String Channel ChannelEndpointImpl Channel Endpoint Impl ethz impl Topics osgi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi Message service NPE RemoteOSGiMessage Remote OSGi Message handleMessage handle Message ChannelEndpointImpl Channel Endpoint Impl Impl ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org listener Listener Service register eclipse ecf DiscoveryServiceListener Discovery Service Listener type discovery	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery Zookeeper client services server case Thread creates application	Bug Discovery Zookeeper Auto reconnect issue
471541	tests JUnit problem ClassCastException Class Cast Exception service remote JVM type attachment test	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf org Discovery dev eclipse provider Composite removing distribution remove	Bug remove code org eclipse ecf provider discovery
