90428	Jabber hotmail button Character jabberserver user Provider login group disables	Bug Jabber Provider Character allowed Jabber login names
222868	password mail MSN button connection entered Bug wizard clicked Finish	Bug MSN mail password entered Finish button clicked
233808	Discovery Test discovery provider SLP Listener Service testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener IDIService tests	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit usage seconds Eclipse bug sun report increases	Bug MSN CPU usage increases connecting
242950	targetID target Container IRCChannelContainer IRCChannel Container NPE disconnect IRCChannel irc timeouts IRC target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource core IResource URI dev api environment mailing execution mhonarc	Bug api add IResourceID IResource
254833	Bundle Discovery service eclipse SLP jslp provider Context consumer org	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Service hostname registerService register Service Discovery JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNS getServiceName Service IServiceInfo IService Info	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	discovery IServiceID IService service Discovery getServiceName Service Service SLP IService optional isn	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service Discovery JMDNSDiscoveryContainer JMDNSDiscovery Container provider Info createServiceInfoFromIServiceInfo create Service Info IService Info IServiceInfo IService Info exchanges priority	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info Discovery Info JSLPService Security IServiceInfo IService Info SecurityException Security Exception provider jslp eclipse	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK status code Modelling Eclipse update Graphical Framework Install	NPE status code
259233	Discovery path discovery URI JMDNS lost Bug segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery SLP lookup Bug scope case sourceforge aid func net	Bug Discovery SLP lookup scope case insensitive
265551	tests Http resource pause Pause HttpClient Http Client provider entire URLRetrievePauseResumeTest URLRetrieve Pause Resume Test Resume	Bug pause reads entire resource HttpClient provider Http Client
266120	Discovery naming JmDNS DNS servicetypes getServiceTypeIDs Service Type IDs service authority Service default Type	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter class IRemoteServiceContainerAdapter IRemote Service Container Adapter support generic plugin Container GenericServerContainer Generic Server Container Server	Bug server supporrt remoteservice container adapter generic server
270332	patch DocShares Doc Shares called problems Doc subject fixed meaning attachment ECF	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation LogService Log Service String Log logging StringBuffer String Buffer Service details misses invokes	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer Extension Code class bug ExtensionPoint Extension Point impl Point osgi file	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	messages SLPv version Discovery jSLP SLP SLP Bug change discard protocol	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	jSLP SLP tags Discovery parser Bug bad attribute HTAB Test SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	Service Impl java exception remotesrvs method osgi RemoteServiceImpl Remote Service Impl callSync call Sync Method	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	Discovery test DiscoveryTestsWithoutRegister Discovery Tests Register DNS Tests API Bug suite checks Add	Bug Discovery DNS Add API checks null test suite
316595	service Discovery Bug Defer retrieval retrieving request unit lazily instances	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Discovery Bug IService allowed IServiceProperty IService Property property Property	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service method foo Service OSGi Smart IFoo Proxy rosgiFoo rosgi Foo proxy	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location dev discovery mailing bug zookeeper URI mhonarc port eclipse	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory Remote Factory Call RemoteCallFactory Remote Call Factory factory IRemote RestCallFactory Rest Call Factory remoteservice RemoteCalls Remote Calls	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References implementation Service osgi Remote idFilter Filter parameter String Filter incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable org core ecf Status status eclipse exception Throwable	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite CompositeDiscoveryContainer Composite Discovery Container discovery Instance provider advertisers CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator eclipse	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery broken Listener resource ecf ServiceResource Service Resource Address hostname	Bug Discovery resilient broken hostnames
329054	Container Discovery provider discovery Composite containers CDC ecf connect IConnect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery CompositeDiscoveryContainer Composite Discovery Container Composite Container DiscoveryContainers Discovery Containers Containers Bug instantiation misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo startup Zookeeper ZooDiscovery Zoo Discovery ZooDiscoveryContainer Zoo Discovery Container Slow Bundle BundleActivator Bundle Activator timeout	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service devsosgi service endpoint osgi container ecf services Container remoteserviceadmin	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service osgi Context props remoteserviceadmin propsA props property ecf	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	status Service service Call IRemote HTTP restCall rest Call Factory method registration	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private properties intent someProperty Property TCK foo Property service exported	Bug TCK RSA exports private properties
342782	TCK RSA bundle properties Bug set events incorrectly event version	Bug TCK RSA events set properties incorrectly
369023	Trace org tracing pluginId plugin NullPointerException Null Pointer Exception Pointer core method ecf plugin	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service Zoodiscovery annoying needed watchmanager Bug Harmless thrown unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	Discovery percentage client server Zoo zookeeper high ZooDiscovery Zoo Discovery processes CPU	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	content RestClientService Rest Client Service client Service Client org IRemoteCallable IRemote Callable remoteservice encoding Method	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service RemoteServiceAdmin Remote Service Admin configs Admin error matching import Remote registration	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE OSGi String Channel Impl ChannelEndpointImpl Channel Endpoint Impl ethz osgi updateTopics update Topics update	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi Message NPE service Channel handleMessage handle Message iks osgi ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org Service discovery listener Listener eclipse register ecf Discovery DiscoveryServiceListener Discovery Service Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zookeeper client Zoodiscovery application services server Thread case remote	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem service remote JUnit ClassCastException Class Cast Exception server forums Class failing	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org ecf Discovery remove eclipse distribution discovery provider Bug removing	Bug remove code org eclipse ecf provider discovery
