90428	hotmail jabberserver user Jabber button org Character Join group login	Bug Jabber Provider Character allowed Jabber login names
314558	test Discovery DiscoveryTestsWithoutRegister Discovery Tests Register Tests API DNS Execute checks Bug Register	Bug Discovery DNS Add API checks null test suite
316595	service Discovery retrieving lazily request instances retrieval Bug Defer unit	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IServiceProperty IService Property Property IService Bug Discovery property allowed	Bug Discovery Whitespaces allowed property
327029	method IFooService IFoo Service foo Service rosgiFoo rosgi Foo rosgi Proxy SmartProxyService Smart Proxy Service proxy OSGi	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location bug service URI dev mailing port problem mhonarc solution	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory Remote Factory factory RestCallFactory Rest Call Factory IRemoteCallFactory IRemote Call Factory remoteservice RemoteCalls Remote Calls rest IRemote	Bug IRemoteCallFactory IRemote Call Factory
327582	Service getRemoteServiceReferences Remote Service References implementation parameter incorrect idFilter Filter osgi unnecessary Remote Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable Status STATUS status exception null Exception core Throwable	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container discovery CompositeDiscoveryContainer Composite Discovery Container Instance Composite CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator provider Instantiator locator	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery Address resource hostname ServiceResource Service Resource URI Resource Listener	Bug Discovery resilient broken hostnames
329054	Container provider Discovery containers discovery connect IConnect CompositeDiscoveryContainer Composite Discovery Container Composite Context	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Discovery DiscoveryContainers Discovery Containers Container Containers Composite Bug instantiation misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container startup Zookeeper BundleActivator Bundle Activator Bundle Container Slow timeout	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint devsosgi services container Container osgi object remoteserviceadmin	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service osgi Endpoint ServiceATracker Service ATracker Context EndpointDescription Endpoint Description props propsA props	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service restCall rest Call IRemote Call status request Factory remote requestType request Type	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private properties someProperty Property Property RSA intent exported foo service Dotted	Bug TCK RSA exports private properties
342782	TCK bundle RSA event properties Bug set events incorrectly version	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin org core printStackTrace print Stack Trace Pointer java method plugin option	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE needed service Harmless watchmanager annoying Zoodiscovery thrown unpublish Bug	Bug Zoodiscovery NPE unpublishing service
406064	server Discovery processes client CPU percentage zookeeper Zoo zoodiscovery ZooDiscovery Zoo Discovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service client RestClientService Rest Client Service content Client org Http Request Method remoteservice	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin Service import Admin error configs registration publish imported	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE ChannelEndpointImpl Channel Endpoint Impl Channel Endpoint updateTopics update Topics Topics Impl update OSGi String	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE service OSGi Message NPE Channel handleMessage handle Message RemoteOSGiMessage Remote OSGi Message osgi Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service discovery Discovery listener Listener DiscoveryServiceListener Discovery Service Listener org register type eclipse	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection application Zoodiscovery Zookeeper services server client disconnect Thread Session	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service problem failing Class server Exception forums JUnit ClassCastException Class Cast Exception	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery discovery eclipse removing provider CompositeDiscoveryContainer Composite Discovery Container removed org distribution dev	Bug remove code org eclipse ecf provider discovery
