59	oct HOUR Calendar DateUtils Utils MDT DAY MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
480	Escape UTF utf Characters Html String output characters println escapeHtml escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Digit dec Dec Point point BigDecimal Big Decimal valid number foundDigit Digit Number	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	dateTime Time getTimeZone Time Zone Calendars Calendar GregorianCalendar Gregorian Calendar format FastDateFormat Fast Format Time CalendarIsoMsZulu Calendar Iso Zulu noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	exception junit string searchList search List org replace replaceEach replace update replacementList replacement List String	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory ToStringStyle String Style String	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587		ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number Utils createNumber create Number NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception String throws NumberUtils Number Utils exponent	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Locale week format FastDateFormat Fast Format locale output Format minimalDaysInFirstWeek minimal Days Week firstDayOfWeek Day Week Days	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	test testReducedFactory test Reduced Factory gcd Fraction Reduced int numerator denominator getDenominator Denominator Integer	org apache commons lang math Fraction reduce Integer MIN
664	foundDigit Digit Digit Number Utils isNumber Number hasExp Exp Exp NumberUtils Number Utils exponent	NumberUtils isNumber String String Number Utils Number
677	method HOUR setTimeInMillis set Time Millis Calendar isSameLocalTime Local Time Local Time DateUtils Utils DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	JDK Java Format year format YYY Javadoc FastDateFormat Fast Format SimpleDateFormat Simple Format Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Integer Number createNumber create Number NumberFormatException Number Format Exception Exception case NumberUtils Number Utils	NumberUtils handle upper case hex Number Utils
747	createLong create Long Integer octal Number numbers createNumber create Number Long create digits createInteger create Integer	NumberUtils handle Long Hex numbers Number Utils
788	SerializationUtilsTest Serialization Utils Test ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream classLoader class Loader primitive import Loader SerializationUtils Serialization Utils int Exception primitiveTypeClassSerialization primitive Type Class Serialization	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	exception pass length nextInt Int Int int empty random null array	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	java RandomUtils Random Utils Random Illegal Utils nextInt Int throws lang Int Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Decimal Utils createNumber create Number create NumberFormatException Number Format Exception BigDecimal Big Decimal NumberUtils Number Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	treats treat Format parsed parse SimpleDateFormat Simple Format Parser FastDateParser Fast Parser	FastDateParser handle white space properly Fast Parser
832	Format format parsed parse SimpleDateFormat Simple Format	FastDateParser handle unterminated quotes correctly Fast Parser
882	Buffer Escape lookup toCharArray Char Array code HashMap Hash Map CharBuffer Char Buffer CharSequence Char Sequence String Hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
