59	Calendar DateUtils Utils MDT MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
480	Escape characters escapeHtml escape Html utf Characters unicode Html String escape StringEscapeUtils String Escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number foundDigit Digit Digit Number Decimal isNumber Number decimal BigDecimal Big Decimal NumberUtils Number Utils	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	dateTime Time TimeZone Time Zone getTimeZone Time Zone Calendars Calendar GregorianCalendar Gregorian Calendar Time CalendarIsoMsZulu Calendar Iso Zulu noformat locale	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	junit StringUtilsTest String Utils Test Test searchList search List StringUtils String Utils replace replaceEach replace replacementList replacement List String replacement	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	leak memory ToStringStyle String Style thread commons	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587		ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Locale week Format minimalDaysInFirstWeek minimal Days Week firstDayOfWeek Day Week Days FastDateFormatWeekBugDemo Fast Format Week Bug Demo FastDateFormat Fast Format locale Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	test gcd Fraction Reduced int numerator denominator getDenominator Denominator Integer Test	org apache commons lang math Fraction reduce Integer MIN
664	foundDigit Digit Digit Number isNumber Number hasExp Exp NumberUtils Number Utils	NumberUtils isNumber String String Number Utils Number
677	setTimeInMillis set Time Millis isSameLocalTime Local Time Time DateUtils Utils	DateUtils isSameLocalTime work correct Utils Local Time
719	JDK Format year format YYY Javadoc FastDateFormat Fast Format SimpleDateFormat Simple Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Integer Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils	NumberUtils handle upper case hex Number Utils
747	createLong create Long Integer Number numbers createNumber create Number create digits NumberUtils Number Utils	NumberUtils handle Long Hex numbers Number Utils
788	SerializationUtilsTest Serialization Utils Test ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream classLoader class Loader primitive SerializationUtils Serialization Utils primitiveTypeClassSerialization primitive Type Class Serialization Serialization Type resolveClass resolve Class getContextClassLoader Context Class Loader	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	exception length nextInt Int Int int empty random size null array	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	RandomUtils Random Utils Random Utils nextInt Int Int	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Decimal createNumber create Number create NumberFormatException Number Format Exception BigDecimal Big Decimal NumberUtils Number Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parsed parse SimpleDateFormat Simple Format FastDateParser Fast Parser	FastDateParser handle white space properly Fast Parser
832	parsed parse SimpleDateFormat Simple Format quotes	FastDateParser handle unterminated quotes correctly Fast Parser
882	Buffer toCharArray Char Array HashMap Hash Map CharBuffer Char Buffer CharSequence Char Sequence String Array lookupMap lookup Map Char char	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
