59	result oct method dealing DST truncate hour DateUtils Utils lang MDT	lang DateUtils truncate method buggy dealing DST switching hours Utils
457	thows Number Utils Bounds createNumber create Number StringIndexOutOfBoundsException String Bounds Exception create String passed NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	registry formatRegistry format Registry code Message custom Extended format pattern String Registry	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	FFFF Escape internaly String converts incorrectly characters println java escapeHtml escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Return Number Valid Utils isNumber Number True return NumberUtils Number Utils	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	dateTime Time test getTimeZone Time Zone Zone change Calendar format GregorianCalendar Gregorian Calendar FastDateFormat Fast Format Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	original Documentation replace replaceEach replace replacementList replacement List assertEquals assert Equals String result Missing null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ThreadLocals Thread Locals leaks memory created HashCodeBuilder Hash Code Builder builder ToStringStyle String Style String trigger	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class NPE null array Object Class throws ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number StringIndexOutOfBoundsException String Bounds Exception String passed throws NumberUtils Number Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	outputs Locale week incorrect year format fdf FastDateFormat Fast Format locale Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer apache MIN org Fraction math lang commons	org apache commons lang math Fraction reduce Integer MIN
664	Java Number Utils isNumber Number String return NumberUtils Number Utils	NumberUtils isNumber String String Number Utils Number
677	correct method Utils bug work isSameLocalTime Local Time Local Time DateUtils Utils class	DateUtils isSameLocalTime work correct Utils Local Time
719	Java formats year adjusted format pattern FastDateFormat Fast Format Simple releases behave	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number upper handle hex case NumberUtils Number Utils	NumberUtils handle upper case hex Number Utils
747	createLong create Long numbers createNumber create Number handle Integer trivial Number Utils Long create	NumberUtils handle Long Hex numbers Number Utils
788	Serialization primitive Utils clone Class noformat throws ClassNotFoundException Class Exception SerializationUtils Serialization Utils class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code universe count false nextInt Int chars RandomStringUtils Random String Utils	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils start confusing throws IAE RandomStringUtils Random String Utils	RandomStringUtils throws confusing IAE start Random String Utils
822	checks bad Number leading createNumber create Number create behaviour NumberUtils Number Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	single treats white handle specially Fast space FastDateParser Fast Parser	FastDateParser handle white space properly Fast Parser
832	correctly handled handle Fast SimpleDateFormat Simple Format unterminated quotes Simple FastDateParser Fast Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	code accepts work Char LookupTranslator Lookup Translator CharSequence Char Sequence String Sequence	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
