59	Calendar DateUtils Utils MDT MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
586	leak memory ToStringStyle String Style thread commons	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587		ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number NumberUtils Number Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Locale week Format minimalDaysInFirstWeek minimal Days Week firstDayOfWeek Day Week Days format FastDateFormat Fast Format locale Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer test Test Denominator Fraction int FractionTest Fraction Test numerator denominator getDenominator Denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils	NumberUtils isNumber String String Number Utils Number
677	Assert setTimeInMillis set Time Millis assert Calendar assertFalse assert False isSameLocalTime Local Time DateUtils Utils DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	JDK Format format Javadoc FastDateFormat Fast Format SimpleDateFormat Simple Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Integer Number createNumber create Number NumberUtils Number Utils	NumberUtils handle upper case hex Number Utils
747	createLong create Long Integer Number numbers createNumber create Number Long digits NumberUtils Number Utils	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtilsTest Serialization Utils Test ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream classLoader class Loader primitive Class SerializationUtils Serialization Utils primitiveType primitive Type ObjectStreamClass Object Stream Class primitiveTypeClassSerialization primitive Type Class Serialization	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	exception random size null array length char nextInt Int Int int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	RandomUtils Random Utils Random nextInt Int Int	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Decimal createNumber create Number BigDecimal Big Decimal NumberUtils Number Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parsed parse SimpleDateFormat Simple Format FastDateParser Fast Parser	FastDateParser handle white space properly Fast Parser
832	parsed parse SimpleDateFormat Simple Format quotes	FastDateParser handle unterminated quotes correctly Fast Parser
882	Buffer Escape lookupMap lookup Map HashMap Hash Map Char hashCode hash Code CharBuffer Char Buffer char CharSequence Char Sequence String	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
