90428	Jabber jabberserver button hotmail Provider action username user login usernames	Bug Jabber Provider Character allowed Jabber login names
337643	Service service ServiceA Service ServiceATracker Service ATracker ecf props propsA props Endpoint EndpointDescription Endpoint Description osgi	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service restCall rest Call IRemote Call status invokeRemoteCall invoke Remote Call remoteService remote Service containerFactory container Factory HTTP	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties someProperty Property Property private TCK foo intent Bug exports	Bug TCK RSA exports private properties
342782	TCK RSA set event bundle properties Bug events symbolicname incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace eclipse org printStackTrace print Stack Trace pluginId plugin NullPointerException Null Pointer Exception method java tracing ecf	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	annoying NPE service Zoodiscovery Harmless watchmanager unpublish Bug unpublishing needed	Bug Zoodiscovery NPE unpublishing service
406064	client server Discovery percentage ZooDiscovery Zoo Discovery Zoo zookeeper high Bug zoodiscovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service client Service content encoding Client UTF remoteservice IRemoteCallable IRemote Callable Rest	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service import configs RemoteServiceAdmin Remote Service Admin error matching Bug Remote imported	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ChannelEndpointImpl Channel Endpoint Impl OSGi NPE Impl Channel String updateTopics update Topics update ethz Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi Message service NPE RemoteOSGiMessage Remote OSGi Message handleMessage handle Message ChannelEndpointImpl Channel Endpoint Impl Impl ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Listener DiscoveryServiceListener Discovery Service Listener listener org Service discovery register eclipse ecf Discovery	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zoodiscovery connection Zookeeper client disconnect services startConnect start Connect server case connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests JUnit problem ClassCastException Class Cast Exception service remote JVM type attachment test	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery eclipse dev ecf org provider removing Composite discovery distribution	Bug remove code org eclipse ecf provider discovery
