90428	user button hotmail jabberserver Join usernames group Finish Jabber support	Bug Jabber Provider Character allowed Jabber login names
296107	SLPv SLP jSLP SLP messages change marked version log formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser attribute bad HTAB accept	Bug Discovery jSLP Test parser bad tags SLP
302407	Exception java exception NoSuchMethodException Method Exception Service Method lang happen OSGi proxy	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Tests DiscoveryTestsWithoutRegister Discovery Tests Register Discovery Execute Register suite	Bug Discovery DNS Add API checks null test suite
316595	eagerly retrieving service lazily instances request test	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property IServiceProperty IService Property IService	Bug Discovery Whitespaces allowed property
327029	Service foo IFooService IFoo Service method Foo rosgiFoo rosgi Foo rosgi proxy Proxy SmartProxyService Smart Proxy Service	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	service port URI location zookeeper bug interest problem solution	Bug discovery zookeeper location URI include port
327379	Remote RemoteCallFactory Remote Call Factory RestCallFactory Rest Call Factory factory Factory remoteservice rest Rest Call Calls	Bug IRemoteCallFactory IRemote Call Factory
327582	Service implementation getRemoteServiceReferences Remote Service References unnecessary Remote References simplified Filter parameter String	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Status status Exception SerializableStatus Serializable Status STATUS exception Serializable checkForSerializable check Serializable null initializes	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	discovery Discovery CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator CompositeDiscoveryContainer Composite Discovery Container locator Instantiator Container Instance provider Composite	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	services hostnames hostname Discovery discovery broken Address URI Service resolve	Bug Discovery resilient broken hostnames
329054	connect Container IConnect Discovery discovery provider containers connects org providers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	DiscoveryContainers Discovery Containers Discovery CompositeDiscoveryContainer Composite Discovery Container Container Composite Containers misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	ZooDiscoveryContainer Zoo Discovery Container Zoo Discovery Container Creating	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service services endpoint Endpoint ServiceID Service supported ServiceInfo Service Info EndpointDescription Endpoint Description remote	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service registration Endpoint EndpointDescription Endpoint Description services ServiceATracker Service ATracker registerService register Service remote	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service remote Call restCall rest Call service Remote requestType request Type IRemote request call	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private Property properties exported service someProperty Property Dotted RSA foo intent	Bug TCK RSA exports private properties
342782	set event TCK properties spec RSA	Bug TCK RSA events set properties incorrectly
369023	Trace eclipse printStackTrace print Stack Trace null stuff java method framework ecf dies	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	Harmless service needed annoying thrown unpublish NPE	Bug Zoodiscovery NPE unpublishing service
406064	server CPU client processes zoodiscovery high observe	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service RestClientService Rest Client Service client Client Http encoding Request Type content Post	Bug RestClientService ignores content encoding Rest Client Service
414448	imported Service importService import Service RemoteServiceAdmin Remote Service Admin import Remote Admin configs matching returns	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel topicsAdded topics Topics topics update Impl impl Endpoint updateTopics update Topics NPE	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	service SERVICE receives MODIFIED updating instance local OSGi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Discovery discovery Service DiscoveryServiceListener Discovery Service Listener Listener listener type eclipse org ecf	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection disconnect reconnects closes Connect services Zoodiscovery server client connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service ClassCastException Class Cast Exception Class Exception fails problem remote java JUnit	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery discovery org eclipse obsolete provider dev Container ecf services	Bug remove code org eclipse ecf provider discovery
