90428	jabberserver hotmail user org Join	Bug Jabber Provider Character allowed Jabber login names
328772	SerializableStatus Serializable Status Serializable Status STATUS status Exception checkForSerializable check Serializable exception null setException set Exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery discovery CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator CompositeDiscoveryContainer Composite Discovery Container Instance Container Instantiator locator provider Composite	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Service Address Discovery discovery hostname URI resource Resource ServiceResource Service Resource getInetAddress Inet Address	Bug Discovery resilient broken hostnames
329054	Container Discovery discovery connect provider containers IConnect CompositeDiscoveryContainer Composite Discovery Container Context IConnectContext IConnect Context	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	DiscoveryContainers Discovery Containers CompositeDiscoveryContainer Composite Discovery Container Discovery Container Containers Composite	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	ZooDiscoveryContainer Zoo Discovery Container Discovery Zoo Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	service Service services endpoint EndpointDescription Endpoint Description ServiceID Service Endpoint RemoteServiceContainer Remote Service Container ServiceInfo Service Info ServiceProperties Service Properties	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service ServiceA Service service ServiceATracker Service ATracker Endpoint registerService register Service EndpointDescription Endpoint Description ServiceAImpl Service AImpl ServiceTracker Service Tracker Context	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service restCall rest Call service Call remoteService remote Service createRestCall create Rest Call IRemote IRemoteServiceRegistration IRemote Service Registration IRemoteService IRemote Service requestType request Type	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private exported Property Dotted properties someProperty Property	Bug TCK RSA exports private properties
342782	TCK event RSA set	Bug TCK RSA events set properties incorrectly
369023	Trace printStackTrace print Stack Trace shouldTrace Trace print java core eclipse methodName method	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	needed Harmless NPE service annoying thrown	Bug Zoodiscovery NPE unpublishing service
406064	server processes CPU client zoodiscovery observe	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service RestClientService Rest Client Service client Client encoding Http content HttpPostRequestType Http Post Request Type Request consumer	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin import imported Admin Service	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ChannelEndpointImpl Channel Endpoint Impl Endpoint updateTopics update Topics Channel Topics topics update topicsAdded topics Impl impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	service SERVICE receives instance OSGi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Discovery discovery DiscoveryServiceListener Discovery Service Listener Service listener Listener eclipse	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection reconnecting timeout reconnects Zoodiscovery Connect disconnect server Zookeeper startConnect start Connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests Class service Exception failing ClassCastException Class Cast Exception JUnit fails problem errors	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery discovery eclipse removing CompositeDiscoveryContainer Composite Discovery Container provider removed dev Container release	Bug remove code org eclipse ecf provider discovery
