59	MDT MST Utils Equals lang hour buggy DateUtils Utils DST DAY	lang DateUtils truncate method buggy dealing DST switching hours Utils
662	Fraction getDenominator Denominator Denominator Integer MIN method code case denominator void	org apache commons lang math Fraction reduce Integer MIN
664	Number NumberUtils Number Utils return hasDecPoint Dec Point code java change String hasExp Exp isNumber Number	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar Time Local Utils Assert Millis setTimeInMillis set Time Millis HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	Format JDK format SimpleDateFormat Simple Format pattern Java Javadoc year FastDateFormat Fast Format number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils case Integer Utils NumberFormatException Number Format Exception createNumber create Number Format Exception	NumberUtils handle upper case hex Number Utils
747	Number numbers Integer createLong create Long Long NumberUtils Number Utils hex Utils Hex createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Serialization primitiveType primitive Type SerializationUtils Serialization Utils ObjectInputStream Object Input Stream Class Exception ClassNotFoundException Class Exception Input Loader noformat	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	length Int size char code null ends int empty pass	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	RandomUtils Random Utils Random Utils String source problem lang IllegalArgumentException Illegal Argument Exception Argument Illegal	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils Big BigDecimal Big Decimal createNumber create Number behaviour Decimal work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser SimpleDateFormat Simple Format FDP Parser dates SDP Format parse space Javadoc	FastDateParser handle white space properly Fast Parser
832	parse SimpleDateFormat Simple Format quotes format FastDateParser Fast Parser Format Simple parsed Parser FDP	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char char CharSequence Char Sequence Sequence String work lookupMap lookup Map Map CharBuffer Char Buffer lookup	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
