59	DateUtils Utils MDT Calendar Utils Equals lang hour buggy DST MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
586	ToStringStyle String Style memory thread leak org String Style LANG reference web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class NPE toClass Class Utils Object element array ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception Exception String StringIndexOutOfBoundsException String Bounds Exception Format Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week locale Week SimpleDateFormat Simple Format Format firstDayOfWeek Day Week Locale Simple format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Denominator Integer test FractionTest Fraction Test MIN method code denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils Digit return hasDecPoint Dec Point code hasExp Exp java change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Calendar Local Utils Millis HOUR False setTimeInMillis set Time Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	year YYY Format pattern format SimpleDateFormat Simple Format JDK Java number Javadoc	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number case NumberFormatException Number Format Exception Integer NumberUtils Number Utils Utils Format Exception	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers createLong create Long createNumber create Number NumberUtils Number Utils Long hex Utils Hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class ObjectInputStream Object Input Stream primitiveType primitive Type SerializationUtils Serialization Utils ClassNotFoundException Class Exception class Exception primitiveTypeClassSerialization primitive Type Class Serialization resolveClass resolve Class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	length char Int size int code ends nextInt Int null pass	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils String source problem lang IllegalArgumentException Illegal Argument Exception Argument Int	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Decimal NumberUtils Number Utils Big NumberFormatException Number Format Exception behaviour work Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser SimpleDateFormat Simple Format FDP Parser dates SDP Format parse space Javadoc	FastDateParser handle white space properly Fast Parser
832	parse SimpleDateFormat Simple Format quotes format FastDateParser Fast Parser Format Simple parsed Parser FDP	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer char Sequence toString String work Map Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
