59	DAY MDT DateUtils Utils Calendar Utils Equals lang hour buggy oct	lang DateUtils truncate method buggy dealing DST switching hours Utils
477	Message format Format ExtendedMessageFormat Extended Message Format Extended formatRegistry format Registry formattedPattern formatted Pattern Registry escapingOn escaping String	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String utf escapeHtml escape Html unicode StringEscapeUtils String Escape Utils Html Escape characters escape UTF	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number Digit NumberUtils Number Utils decimal return Dec Decimal Utils	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format TimeZone Time Zone format Zone getTimeZone Time Zone GMT time test	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement String Utils replaceEach replace replacementList replacement List StringUtils String Utils Test org searchList search List StringUtilsTest String Utils Test	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style String memory org thread Style LANG reference web leak	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class NPE toClass Class Utils Object element array ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils Number createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception NumberFormatException Number Format Exception Exception Utils Format indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week Week FastDateFormat Fast Format locale format SimpleDateFormat Simple Format firstDayOfWeek Day Week Simple minimalDaysInFirstWeek minimal Days Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator Denominator test MIN FractionTest Fraction Test method code int	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils Digit Utils return hasDecPoint Dec Point code hasExp Exp java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Calendar DateUtils Utils DAY setTimeInMillis set Time Millis Local HOUR method Utils	DateUtils isSameLocalTime work correct Utils Local Time
719	Format year format SimpleDateFormat Simple Format Java FastDateFormat Fast Format YYY pattern number JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number case NumberFormatException Number Format Exception NumberUtils Number Utils Integer Utils Format Exception	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers Long createNumber create Number createLong create Long NumberUtils Number Utils hex Utils Hex	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ObjectInputStream Object Input Stream ClassNotFoundException Class Exception class SerializationUtils Serialization Utils primitiveType primitive Type ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream clone Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int int char length pass code ends nextInt Int chars start	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils IllegalArgumentException Illegal Argument Exception Illegal Exception Int lang String source	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Decimal NumberUtils Number Utils Big Utils NumberFormatException Number Format Exception behaviour work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Parser SimpleDateFormat Simple Format Format FDP dates SDP parse space parsed	FastDateParser handle white space properly Fast Parser
832	format SimpleDateFormat Simple Format Format parse FastDateParser Fast Parser quotes Simple parsed Parser FDP	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer Buffer char code Sequence hash Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
