59	MDT DAY Utils DateUtils Utils Calendar oct Equals MST lang hour	lang DateUtils truncate method buggy dealing DST switching hours Utils
662	Fraction Integer MIN method Denominator getDenominator Denominator case test void code	org apache commons lang math Fraction reduce Integer MIN
664	Number String isNumber Number NumberUtils Number Utils Digit return code hasDecPoint Dec Point foundDigit Digit java	NumberUtils isNumber String String Number Utils Number
677	Time isSameLocalTime Local Time Utils Calendar DateUtils Utils method HOUR setTimeInMillis set Time Millis Local Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format year format Java pattern JDK FastDateFormat Fast Format YYY number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberFormatException Number Format Exception Integer case createNumber create Number NumberUtils Number Utils Format Utils Exception decode	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers hex createNumber create Number Long NumberUtils Number Utils createLong create Long createInteger create Integer octal	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization class ClassNotFoundException Class Exception Exception ObjectInputStream Object Input Stream primitiveType primitive Type SerializationUtils Serialization Utils Input Object	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int ends code int pass char nextInt Int user exception length	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils Illegal Int Argument nextInt Int lang Exception String	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number Decimal BigDecimal Big Decimal Exception NumberUtils Number Utils behaviour returns Big NumberFormatException Number Format Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Parser Format SimpleDateFormat Simple Format FDP space parse SDP parsed dates	FastDateParser handle white space properly Fast Parser
832	format parse Format SimpleDateFormat Simple Format Simple FastDateParser Fast Parser works quotes handled Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String work code Map Code hash char CharBuffer Char Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
