59	MDT MST truncate hour DateUtils Utils result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
412	Null set handle null exception Builder pointer nulls appendFixedWidth append Fixed Width Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	abbreviate upper string Word length Bounds str lengt String adjusted	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive Common html locale Bug Case String sensitive intended	case insensitive string handling
457	don String createNumber create Number Bounds Number thows StringIndexOutOfBoundsException String Bounds Exception throws place LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format String code ExtendedMessageFormat Extended Message Format Extended QUOTE append formatRegistry format Registry static	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode characters Characters String incorrectly displays problem escapeHtml escape Html commons org	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	code Number number works hasDecPoint Dec Point trailing Decimal True isNumber Number exponent	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	format Format Calendar Time Calendars test dateTime Time cal noformat GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replace replacement null String case replaceEach replace Test StringUtils String Utils replacementList replacement List result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	remove org ToStringStyle String Style memory created String thread LANG Code application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class NPE Class Object array null throws Utils element ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	String argument createNumber create Number Number NumberFormatException Number Format Exception throws Exception StringIndexOutOfBoundsException String Bounds Exception Bounds indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	year format week locale FastDateFormat Fast Format SimpleDateFormat Simple Format Fast set simple Locale	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	case Fraction MIN Integer test Reduced method result code assert	org apache commons lang math Fraction reduce Integer MIN
664	code String Dec hasExp Exp Digit Number Java hasDecPoint Dec Point allowing return	NumberUtils isNumber String String Number Utils Number
677	set isSameLocalTime Local Time method Calendar HOUR DateUtils Utils Time correct assertFalse assert False Utils	DateUtils isSameLocalTime work correct Utils Local Time
719	format Java pattern year Format Fast SimpleDateFormat Simple Format bug behavior number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	upper handles NumberFormatException Number Format Exception work createNumber create Number decode Number Integer equally Format	NumberUtils handle upper case hex Number Utils
747	handles handle Long hex Integer numbers create Number createNumber create Number decode	NumberUtils handle Long Hex numbers Number Utils
788	Class implement ClassNotFoundException Class Exception bug noformat SerializationUtils Serialization Utils primitive Serialization bugs class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code random array String exception lang Int gap empty Random	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Argument start throws Illegal identify Random source confusing Utils String	RandomStringUtils throws confusing IAE start Random String Utils
822	nulll leading Number create Big invocations Format BigDecimal Big Decimal bad contrary	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse treat parsed white space Fast treats FastDateParser Fast Parser dates fail	FastDateParser handle white space properly Fast Parser
832	format unterminated parse quotes handle works Simple correctly Parser fail	FastDateParser handle unterminated quotes correctly Fast Parser
882	work implemented CharSequence Char Sequence String Char code translate quote equals working	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
