90428	Jabber Join group hotmail user login action disables jabberserver button	Bug Jabber Provider Character allowed Jabber login names
259389	SLP Discovery scope sourceforge func lookup Bug case aid tracker	Bug Discovery SLP lookup scope case insensitive
265551	TIME tests resource Pause Http transfer changed pause provider Test	Bug pause reads entire resource HttpClient provider Http Client
266120	service getServiceTypeIDs Service Type IDs Type include Discovery authority servicetypes types JmDNS DNS Service	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter Server IRemoteServiceContainerAdapter IRemote Service Container Adapter class Generic xml Container support GenericServerContainer Generic Server Container	Bug server supporrt remoteservice container adapter generic server
270332	called patch problems meaning attachment subject group Doc docshare reference	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation Log String Service Buffer StringBuffer String Buffer constructed message LogService Log Service details	Bug LogService implementation misses details logging Log Service
282667	Extension Point class ExtensionPoint Extension Point bug CodeAnalyzer Code Analyzer Code service point Wojciech	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	messages SLPv version SLP change read jSLP SLP future Discovery versions	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags Bug bad attribute Discovery jSLP SLP Test HTAB SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	Remote Service exception Impl java Method inheritance org type ethz	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery API DiscoveryTestsWithoutRegister Discovery Tests Register Tests DNS checks Register Add suite	Bug Discovery DNS Add API checks null test suite
316595	service unit Discovery Defer retrieval Bug request test instances retrieving	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Bug property Discovery allowed IService IServiceProperty IService Property Property	Bug Discovery Whitespaces allowed property
327029	method foo IFooService IFoo Service OSGi rosgi Smart proxy stub Proxy Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	solution dev problem location mailing bug interest zookeeper mhonarc eclipse	Bug discovery zookeeper location URI include port
327379	factory Factory IRemoteCallFactory IRemote Call Factory rest Remote RemoteCallFactory Remote Call Factory Call IRemote remoteservice RestCallFactory Rest Call Factory	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References implementation idFilter Filter Remote osgi Service String simplified parameter incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Status exception Throwable Serializable org SerializableStatus Serializable Status core eclipse STATUS Exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container discovery Composite Instance CompositeDiscoveryContainer Composite Discovery Container eclipse ecf Description create	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery ecf resource Service discovery Inet ServiceResource Service Resource hostname Resource Listener	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery connect discovery ecf CDC providers ContainerConnectException Container Connect Exception	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container Containers CompositeDiscoveryContainer Composite Discovery Container Composite Discovery DiscoveryContainers Discovery Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo Slow Bundle startup start ZooDiscoveryContainer Zoo Discovery Container Zookeeper BundleActivator Bundle Activator Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	endpoint Service Container osgi service devsosgi ecf container services ERROR	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service osgi propsA props property props ServiceA Service ecf class Consumer	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	service adapter registration Call Container container Service Factory IRemote status	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private properties foo someProperty Property service Property intent TCK exports	Bug TCK RSA exports private properties
342782	RSA TCK bundle set properties symbolicname event events Bug incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace org crazy git pluginId plugin option Pointer method ecf String	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE watchmanager service Zoodiscovery needed Bug Harmless unpublish annoying unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	Discovery percentage zookeeper server client zoodiscovery processes CPU Zoo high	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	content client Client RestClientService Rest Client Service Service Rest remoteservice org UTF explicitly	Bug RestClientService ignores content encoding Rest Client Service
414448	import error importService import Service configs Service RemoteServiceAdmin Remote Service Admin matching registration Remote Admin	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE OSGi Channel Topics String Impl ethz Endpoint impl iks	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi NPE SERVICE service Message iks osgi handleMessage handle Message ethz Channel	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Listener listener register org Service discovery Discovery ecf eclipse IService	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	case connection services Zookeeper Zoodiscovery application client server event Exception	Bug Discovery Zookeeper Auto reconnect issue
471541	problem tests service JVM test unit forums JUnit server ClassCastException Class Cast Exception	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery org ecf provider distribution services Composite eclipse dev discovery	Bug remove code org eclipse ecf provider discovery
