90428	Jabber user login action hotmail group button Character ECF Provider	Bug Jabber Provider Character allowed Jabber login names
327379	Remote RemoteCallFactory Remote Call Factory IRemoteCallFactory IRemote Call Factory factory Factory Call RestCallFactory Rest Call Factory remoteservice IRemote RemoteCalls Remote Calls	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation idFilter Filter Service getRemoteServiceReferences Remote Service References Remote osgi Filter parameter simplified String	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Throwable org core Serializable Status SerializableStatus Serializable Status eclipse STATUS ecf exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Discovery Composite discovery Type eclipse CompositeDiscoveryContainer Composite Discovery Container ecf provider Instance	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery hostname ServiceResource Service Resource Listener org Inet resource hostnames	Bug Discovery resilient broken hostnames
329054	Container provider containers CDC Discovery ecf CompositeDiscoveryContainer Composite Discovery Container Composite discovery providers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery Container Containers CompositeDiscoveryContainer Composite Discovery Container Composite DiscoveryContainers Discovery Containers misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo startup Bundle Activator Container Zookeeper BundleActivator Bundle Activator timeout ZooDiscoveryContainer Zoo Discovery Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service devsosgi service endpoint osgi ERROR ecf container Container configs	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service props ServiceA Service ecf osgi propsA props property class Consumer	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service Factory status IRemote Call Container class Remote adapter	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA foo properties someProperty Property intent private service Property exported exports	Bug TCK RSA exports private properties
342782	bundle TCK properties RSA events set version Bug symbolicname event	Bug TCK RSA events set properties incorrectly
369023	Trace org pluginId plugin git util option Pointer method framework String	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service NPE watchmanager Zoodiscovery needed annoying Bug Harmless thrown unpublish	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery percentage Zoo server zookeeper CPU high cpu zoodiscovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service org RestClientService Rest Client Service content Client client Type remoteservice creation ecf	Bug RestClientService ignores content encoding Rest Client Service
414448	error Service importService import Service configs registration Remote Admin matching RemoteServiceAdmin Remote Service Admin import	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE Channel Impl ethz Endpoint String impl OSGi update Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE Message OSGi service NPE Channel Remote ethz Impl handleMessage handle Message	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service org Listener register listener discovery eclipse type IService ecf	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection client Zookeeper Zoodiscovery case event application Thread services Client	Bug Discovery Zookeeper Auto reconnect issue
471541	problem tests service test unit forums JVM server trace ClassCastException Class Cast Exception	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org distribution Discovery ecf eclipse dev Composite provider discovery release	Bug remove code org eclipse ecf provider discovery
