90428	Jabber action user button hotmail login ECF group Provider Character	Bug Jabber Provider Character allowed Jabber login names
259233	discovery Discovery URI JMDNS path segment lost Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP case scope Bug aid sourceforge func http php detail	Bug Discovery SLP lookup scope case insensitive
265551	tests Http resource Pause transfer TIME provider URLRetrievePauseResumeTest URLRetrieve Pause Resume Test Test HttpClient Http Client	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes Service authority service Type Discovery ECF IServiceTypeID IService Type JmDNS DNS	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server IRemoteServiceContainerAdapter IRemote Service Container Adapter adapter support class Container Server IRemote GenericServerContainer Generic Server Container Generic	Bug server supporrt remoteservice container adapter generic server
270332	patch problems attachment Doc meaning group Remy details docshare DocShares Doc Shares	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log implementation LogService Log Service StringBuffer String Buffer Service String Buffer details logging message	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer ExtensionPoint Extension Point Extension bug Point class Code service Wojciech point	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv SLP messages version jSLP SLP versions protocol Bug formats Discovery	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags attribute jSLP SLP HTAB SLP Bug Discovery bad Test	Bug Discovery jSLP Test parser bad tags SLP
302407	Service exception type Impl java callSync call Sync org inheritance Method Remote	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery API DiscoveryTestsWithoutRegister Discovery Tests Register DNS Tests checks Register Bug suite	Bug Discovery DNS Add API checks null test suite
316595	service Defer Discovery Bug retrieval lazily unit test instances request	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IService property Property Bug Discovery IServiceProperty IService Property allowed	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service foo rosgi method Proxy Service OSGi SmartProxyService Smart Proxy Service Smart consumer	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	dev mailing solution eclipse location bug html mhonarc zookeeper interest	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory Remote IRemoteCallFactory IRemote Call Factory factory Factory IRemote RemoteCalls Remote Calls remoteservice Call rest	Bug IRemoteCallFactory IRemote Call Factory
327582	idFilter Filter getRemoteServiceReferences Remote Service References implementation osgi Service Remote parameter String Filter incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable Throwable SerializableStatus Serializable Status Status org core eclipse STATUS null Exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Composite Discovery CompositeDiscoveryContainer Composite Discovery Container discovery ecf Instance CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator eclipse createInstance create Instance	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery ServiceResource Service Resource Service discovery resource ecf hostname Address Resource Inet	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery Composite CompositeDiscoveryContainer Composite Discovery Container ecf CDC IConnect ContainerConnectException Container Connect Exception	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Container Containers Composite Discovery DiscoveryContainers Discovery Containers Bug instantiation misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery startup BundleActivator Bundle Activator Bundle Zookeeper Activator start Container ZooDiscoveryContainer Zoo Discovery Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service devsosgi osgi service ecf ERROR endpoint Container container services	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ecf props propsA props osgi property Endpoint class	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote containerFactory container Factory Call restCall rest Call adapter Factory status Container	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA someProperty Property foo properties intent Property exports private service TCK	Bug TCK RSA exports private properties
342782	RSA TCK bundle properties symbolicname events set event Bug version	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin method org option git plugin printStackTrace print Stack Trace util Pointer	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service NPE watchmanager Zoodiscovery annoying Harmless Bug needed unpublish unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	client percentage Discovery Zoo server zookeeper CPU ZooDiscovery Zoo Discovery zoodiscovery high	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service Service Client client content UTF remoteservice org IRemoteCallable IRemote Callable Type	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service error Service configs import registration RemoteServiceAdmin Remote Service Admin Admin Remote matching	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Impl NPE Channel OSGi ethz String Endpoint ChannelEndpointImpl Channel Endpoint Impl Topics impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE Message OSGi service handleMessage handle Message NPE Channel RemoteOSGiMessage Remote OSGi Message Impl Remote	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Listener Service listener register org type discovery ecf IService eclipse	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery client Zookeeper case Thread services application event Exception	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem service JVM test unit forums JUnit type server	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery org ecf distribution dev eclipse Composite provider removing services	Bug remove code org eclipse ecf provider discovery
