59	DateUtils Utils MDT hour lang Calendar truncate Utils buggy Equals DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
645	FastDateFormat Fast Format week locale Format SimpleDateFormat Simple Format format Week Simple Locale Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator MIN Denominator apache org FractionTest Fraction Test test method	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String NumberUtils Number Utils return hasDecPoint Dec Point code java Utils change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Local Calendar Time class method Assert Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	Format Java SimpleDateFormat Simple Format FastDateFormat Fast Format year pattern format JDK formats Javadoc	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils case createNumber create Number handle upper Utils Integer NumberFormatException Number Format Exception Format	NumberUtils handle upper case hex Number Utils
747	Number Long numbers NumberUtils Number Utils Integer createLong create Long hex createNumber create Number handle Hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils ClassNotFoundException Class Exception primitiveType primitive Type ObjectInputStream Object Input Stream class Utils noformat clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code length Int random chars size nextInt Int int char null	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils start String throws source problem confusing lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils behaviour Decimal BigDecimal Big Decimal Big work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space SimpleDateFormat Simple Format FDP white Parser dates SDP handle Format	FastDateParser handle white space properly Fast Parser
832	quotes SimpleDateFormat Simple Format FastDateParser Fast Parser parse format unterminated handle Format Simple handled	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String Sequence char work StringEscapeUtils String Escape Utils Buffer CharBuffer Char Buffer accepts	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
