59	DAY DateUtils Utils oct Calendar MDT dealing hours DST result Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
368	getDateTimeInstance Time Instance getDateInstance Instance locale Format Hash FastDateFormat Fast Format key Instance Locale methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Summary infinite Fraction reduce pretty numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big compareTo compare comparing equals BigDecimals Big Decimals Equals Decimal don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width getNullText Null Text exception Builder StrBuilder Str Builder append Str Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str length String upper WordUtils Word Utils substring greater abbreviate Word	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug html sensitive handling String string insensitive http Case	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception throws createNumber create Number Number place Bounds front Utils NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatted ExtendedMessageFormat Extended Message Format Extended formattedPattern formatted Pattern String DummyFormatFactory Dummy Format Factory code Message	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html unicode characters UTF StringEscapeUtils String Escape Utils utf Html represented escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	decimal number Number isNumber Number Decimal NumberUtils Number Utils Digit Exp chars Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format TimeZone Time Zone format GMT time test getTimeZone Time Zone problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replace replacement String replacementList replacement List null Test Utils replaceEach replace org StringUtils String Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String ToStringStyle String Style org Hash application Code web commons Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object Class toClass Class Utils element throws ClassUtils Class Utils array NPE null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberUtils Number Utils NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception String throws Utils Exception exponent	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Week Format SimpleDateFormat Simple Format format FastDateFormat Fast Format Locale locale output code	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test getDenominator Denominator int MIN FractionTest Fraction Test method case Equals	org apache commons lang math Fraction reduce Integer MIN
664	Digit Number NumberUtils Number Utils Exp code hasExp Exp isNumber Number return String chars	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DAY method setTimeInMillis set Time Millis DateUtils Utils Calendar assertFalse assert False Utils HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	Format Java year FastDateFormat Fast Format SimpleDateFormat Simple Format format pattern YYY Fast behavior	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number Integer NumberFormatException Number Format Exception decode case Format Utils upper	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers createNumber create Number NumberUtils Number Utils Long createLong create Long octal create hex	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class ObjectInputStream Object Input Stream Serialization Exception SerializationUtils Serialization Utils primitive Object ObjectStreamClass Object Stream Class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int chars random int useless null Fixed char empty Array	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal Exception lang throws identify RandomUtils Random Utils Int source	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal NumberUtils Number Utils leading Decimal behaviour Big check Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Format parse Parser parsed treat treats SimpleDateFormat Simple Format white single	FastDateParser handle white space properly Fast Parser
832	format SimpleDateFormat Simple Format unterminated Format parse handled FastDateParser Fast Parser parsed quotes Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	String Char CharSequence Char Sequence code CharBuffer Char Buffer char work text Hash hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
