59	MDT hour DateUtils Utils truncate lang Utils oct buggy result DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
368	getDateInstance Instance getDateTimeInstance Time Instance Instance locale case Locale FastDateFormat Fast Format Format methods Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction reduce infinite numerator pretty Summary	infinite loop Fraction reduce numerator
393	Big compare don BigDecimal Big Decimal compareTo compare Decimal EqualsBuilder Equals Builder BigDecimals Big Decimals correctly Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Builder Fixed handle StrBuilder Str Builder nulls pointer getNullText Null Text width Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string abbreviate upper String Word StringIndexOutOfBoundsException String Bounds Exception greater WordUtils Word Utils	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs case String locale Case string intended http handling	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Number createNumber create Number Bounds NumberUtils Number Utils front thows Utils Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended format ExtendedMessageFormat Extended Message Format String code pattern formatRegistry format Registry Message quotes	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters String escapeHtml escape Html StringEscapeUtils String Escape Utils unicode escape incorrectly problem org Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	isNumber Number Number return code number Exp Point exponent Dec Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format test Zone TimeZone Time Zone cal DateFormatUtils Format Utils dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils Utils Test case replacement null replacementList replacement List replace	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory String org thread LANG created application web Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class NPE throws element array ClassUtils Class Utils Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception Exception NumberUtils Number Utils throws passed Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format locale Format format SimpleDateFormat Simple Format Fast Simple year Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer MIN Fraction method code apache test case commons void	org apache commons lang math Fraction reduce Integer MIN
664	Number String return isNumber Number code hasExp Exp Dec Digit hasDecPoint Dec Point java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Utils DateUtils Utils Local Time Calendar method class HOUR False	DateUtils isSameLocalTime work correct Utils Local Time
719	Java year pattern SimpleDateFormat Simple Format FastDateFormat Fast Format Format Fast bug number formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number upper case NumberFormatException Number Format Exception NumberUtils Number Utils handle Integer createNumber create Number Format Utils	NumberUtils handle upper case hex Number Utils
747	Long hex Number numbers Integer createLong create Long handle create createNumber create Number NumberUtils Number Utils	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception Serialization SerializationUtils Serialization Utils class noformat Exception clone primitive ObjectInputStream Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code random chars start Int ends array gap false pass	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws confusing start lang Argument source IllegalArgumentException Illegal Argument Exception String	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour Big BigDecimal Big Decimal work leading NumberUtils Number Utils create Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space white dates Fast FDP Format handle Javadoc parse	FastDateParser handle white space properly Fast Parser
832	quotes format unterminated parse handle FastDateParser Fast Parser Simple handled Fast SimpleDateFormat Simple Format	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work code Sequence CharBuffer Char Buffer Map accepts translate	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
