59	DateUtils Utils Calendar switching MDT dealing method MST truncate assert hour	lang DateUtils truncate method buggy dealing DST switching hours Utils
662	Fraction test Integer getDenominator Denominator FractionTest Fraction Test Reduced case code borderStyle border Style Test	org apache commons lang math Fraction reduce Integer MIN
664	Number Digit hasExp Exp code isNumber Number foundDigit Digit NumberUtils Number Utils String return java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils method Utils assertFalse assert False Calendar cal Assert set	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format YYY Javadoc FastDateFormat Fast Format JDK SimpleDateFormat Simple Format Java pattern Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils NumberFormatException Number Format Exception Integer upper decode Format handles create	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers createNumber create Number NumberUtils Number Utils create createLong create Long handle handles Long	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ObjectInputStream Object Input Stream ClassNotFoundException Class Exception class primitiveTypeClassSerialization primitive Type Class Serialization primitiveType primitive Type SerializationUtils Serialization Utils resolveClass resolve Class primitive	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int empty char null random length useless int chars Array	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils nextInt Int confusing throws RandomStringUtils Random String Utils Int Argument lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal create Decimal NumberUtils Number Utils Big behaviour leading nulll	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse FastDateParser Fast Parser parsed treat SimpleDateFormat Simple Format treats white space Fast FDP	FastDateParser handle white space properly Fast Parser
832	quotes parse format unterminated SimpleDateFormat Simple Format handle works Simple correctly Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharSequence Char Sequence CharBuffer Char Buffer char equals lookupMap lookup Map work instances HashMap Hash Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
