59	DateUtils Utils Calendar method MDT switching truncate dealing MST hour oct	lang DateUtils truncate method buggy dealing DST switching hours Utils
380	Fraction loop Summary numerator reduce infinite	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal comparing Decimal compareTo compare BigDecimals Big Decimals don equals EqualsBuilder Equals Builder Big	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null getNullText Null Text StrBuilder Str Builder Str null handle nulls append Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils string str String Word substring upper abbreviate greater length	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs string Bug String case sensitive Case html intended	case insensitive string handling
457	createNumber create Number StringIndexOutOfBoundsException String Bounds Exception Number NumberUtils Number Utils String digit thows LANG Bounds Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Message Format ExtendedMessageFormat Extended Message Format format Extended formatRegistry format Registry java HashMap Hash Map borderStyle border Style ExtendedMessageFormatTest Extended Message Format Test	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode String StringEscapeUtils String Escape Utils utf characters Characters character Html escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number NumberUtils Number Utils number decimal isNumber Number Decimal True hasExp Exp works dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone dateTime Time GregorianCalendar Gregorian Calendar GMT getTimeZone Time Zone format Zone Format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replaceEach replace replacementList replacement List replace Utils StringUtils String Utils Test StringUtilsTest String Utils Test searchList search List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory ThreadLocals Thread Locals created Hash removed webapp loading HashCodeBuilder Hash Code Builder application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object ClassUtils Class Utils Utils Class throws NPE null array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception throws StringIndexOutOfBoundsException String Bounds Exception create String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week Format Week SimpleDateFormat Simple Format firstDayOfWeek Day Week locale Locale output minimalDaysInFirstWeek minimal Days Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer FractionTest Fraction Test test getDenominator Denominator Test Denominator gcd apache borderStyle border Style	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils Digit hasExp Exp foundDigit Digit String code java return	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Utils method assertFalse assert False Local Calendar work Assert	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format FastDateFormat Fast Format YYY Javadoc JDK SimpleDateFormat Simple Format formats Java format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils upper handle case create Integer NumberFormatException Number Format Exception hex	NumberUtils handle upper case hex Number Utils
747	Number Integer NumberUtils Number Utils numbers createNumber create Number create handle createLong create Long Long handles	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception primitiveTypeClassSerialization primitive Type Class Serialization class SerializationUtils Serialization Utils ObjectInputStream Object Input Stream Utils resolveClass resolve Class primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	char random length empty Int RandomStringUtils Random String Utils chars null useless size	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils RandomStringUtils Random String Utils Utils throws Int nextInt Int confusing start String	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils Decimal BigDecimal Big Decimal create behaviour leading NumberFormatException Number Format Exception bad	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse treats SimpleDateFormat Simple Format treat white space parsed handle FDP	FastDateParser handle white space properly Fast Parser
832	quotes handle unterminated SimpleDateFormat Simple Format parse works correctly format handled FastDateParser Fast Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer char lookupMap lookup Map HashMap Hash Map LookupTranslator Lookup Translator toCharArray Char Array implementation	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
