59	DateUtils Utils MDT truncate hour oct result Calendar assert lang switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
538	Calendar Time TimeZone Time Zone dateTime Time format Format GMT cal DateFormatUtils Format Utils GregorianCalendar Gregorian Calendar	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils replacement replace null replacementList replacement List Test result Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory created thread String org LANG leak Code application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class throws NPE ClassUtils Class Utils array element null Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception throws NumberUtils Number Utils NumberFormatException Number Format Exception String passed Exception argument	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week SimpleDateFormat Simple Format locale Fast Week Locale Format format year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer apache test getDenominator Denominator MIN commons Reduced FractionTest Fraction Test method	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String NumberUtils Number Utils return Digit code hasExp Exp chars Dec	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Time Utils Calendar Local method cal work set	DateUtils isSameLocalTime work correct Utils Local Time
719	year Java FastDateFormat Fast Format SimpleDateFormat Simple Format Fast Format pattern YYY formats adjusted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number upper Integer handle NumberFormatException Number Format Exception case work handles	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers NumberUtils Number Utils Long create handle hex createNumber create Number createLong create Long	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception primitive class ObjectInputStream Object Input Stream noformat primitiveType primitive Type primitiveTypeClassSerialization primitive Type Class Serialization	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code false null empty Int char array length	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws Utils confusing start RandomUtils Random Utils Argument lang Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils behaviour BigDecimal Big Decimal leading create Big nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white space Fast parse parsed handle SimpleDateFormat Simple Format treats dates	FastDateParser handle white space properly Fast Parser
832	quotes unterminated SimpleDateFormat Simple Format handle parse handled Fast format correctly Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String CharBuffer Char Buffer char code work accepts translate quote	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
