59	MDT Utils switching DateUtils Utils hour method Calendar dealing DST Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
457	Number createNumber create Number StringIndexOutOfBoundsException String Bounds Exception String front Bounds Exception NumberUtils Number Utils Utils don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format ExtendedMessageFormat Extended Message Format java formatRegistry format Registry code appendTo append Extended formattedPattern formatted Pattern borderStyle border Style	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html characters unicode utf StringEscapeUtils String Escape Utils COUNTING escape character problem	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number hasExp Exp return Decimal decimal Point Exp Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar test TimeZone Time Zone Format noformat problem format dateTime Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement Utils replaceEach replace replacementList replacement List Test searchList search List case StringUtils String Utils replace	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	application Hash org memory ToStringStyle String Style String thread web LANG Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object Utils NPE element array throws ClassUtils Class Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number String Exception StringIndexOutOfBoundsException String Bounds Exception NumberFormatException Number Format Exception NumberUtils Number Utils Utils indicators passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format locale FastDateFormat Fast Format Week Locale format output SimpleDateFormat Simple Format Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test code case getDenominator Denominator MIN method FractionTest Fraction Test borderStyle border Style	org apache commons lang math Fraction reduce Integer MIN
664	code Number hasExp Exp Digit return java String isNumber Number hasDecPoint Dec Point foundDigit Digit	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils method Calendar DateUtils Utils assertFalse assert False Local HOUR False	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format SimpleDateFormat Simple Format pattern Java FastDateFormat Fast Format bug number YYY JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Integer case Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers createNumber create Number Long createLong create Long hex NumberUtils Number Utils create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception Serialization class ObjectInputStream Object Input Stream noformat Exception bug Type SerializationUtils Serialization Utils	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code char start ends array length Array RandomStringUtils Random String Utils int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils String lang Argument source IllegalArgumentException Illegal Argument Exception Illegal RandomStringUtils Random String Utils	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Big behaviour Decimal work create Java Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP parse treat dates space parsed Format treats SDP	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple unterminated handle works Format Parser correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer work Map equals code char instances	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
