59	MDT DateUtils Utils hour Calendar lang assertEquals assert Equals truncate Utils buggy Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
586	ThreadLocals Thread Locals ToStringStyle String Style memory web webapp String org HashCodeBuilder Hash Code Builder thread Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class NPE Object ClassUtils Class Utils Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberUtils Number Utils String StringIndexOutOfBoundsException String Bounds Exception Exception throws Format Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format Format locale format Simple Week Locale SimpleDateFormat Simple Format output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer case MIN getDenominator Denominator FractionTest Fraction Test factory Factory apache org	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number hasDecPoint Dec Point String return hasExp Exp NumberUtils Number Utils code java Utils	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Utils Local DateUtils Utils Time assertFalse assert False Calendar class method Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java year pattern formats Javadoc format JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case NumberUtils Number Utils createNumber create Number handle upper Utils Integer NumberFormatException Number Format Exception Format	NumberUtils handle upper case hex Number Utils
747	Number Long createLong create Long NumberUtils Number Utils numbers create handle hex Integer createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception ObjectInputStream Object Input Stream primitiveType primitive Type class bug Loader Utils	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int random code RandomStringUtils Random String Utils nextInt Int length Random int ends chars	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils nextInt Int start String RandomUtils Random Utils RandomStringUtils Random String Utils throws source Int	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils Decimal behaviour BigDecimal Big Decimal Big work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP space treats treat white SDP parse Parser SimpleDateFormat Simple Format	FastDateParser handle white space properly Fast Parser
832	quotes format handle unterminated parse FastDateParser Fast Parser Simple Format works correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work CharBuffer Char Buffer Buffer Sequence hashCode hash Code Map Escape	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
