59	MST MDT DateUtils Utils truncate hour result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
419	string String abbreviate upper length str Word greater Bounds substring	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive Bug string String sensitive Case Common html locale	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Number digit String LANG don createNumber create Number Bounds place NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatted formatRegistry format Registry formattedPattern formatted Pattern escaping FORMAT Map ExtendedMessageFormat Extended Message Format appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode utf characters Characters escape String incorrectly displays problem escapeHtml escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number Number decimal Digit point dec Point NumberUtils Number Utils return Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone GregorianCalendar Gregorian Calendar noformat GMT format Format testFormat test Format zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replace replacement String StringUtils String Utils replaceEach replace replacementList replacement List searchList search List null case Test	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread remove org created String LANG leak Code	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws NPE null Utils ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils String StringIndexOutOfBoundsException String Bounds Exception passed Exception createNumber create Number throws argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format Locale SimpleDateFormat Simple Format format locale firstDayOfWeek Day Week Week week Format Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator test case Integer int FractionTest Fraction Test Denominator MIN Test	org apache commons lang math Fraction reduce Integer MIN
664	Number NumberUtils Number Utils code String return chars hasExp Exp Dec Exp isNumber Number	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False isSameLocalTime Local Time DateUtils Utils Assert assert Calendar Utils Time cal method	DateUtils isSameLocalTime work correct Utils Local Time
719	Format Javadoc JDK FastDateFormat Fast Format SimpleDateFormat Simple Format Java format pattern year Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Integer NumberUtils Number Utils upper NumberFormatException Number Format Exception decode Format handles createNumber create Number work	NumberUtils handle upper case hex Number Utils
747	Number numbers createLong create Long Long Integer NumberUtils Number Utils handle handles hex create	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class ObjectInputStream Object Input Stream primitiveType primitive Type SerializationUtils Serialization Utils primitive classLoader class Loader bug SerializationUtilsTest Serialization Utils Test ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random empty Int null chars length Random size int array	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	RandomUtils Random Utils Random confusing throws Utils Argument lang start Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils BigDecimal Big Decimal Big behaviour create leading createNumber create Number nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse FastDateParser Fast Parser parsed treat SimpleDateFormat Simple Format treats white space Fast dates	FastDateParser handle white space properly Fast Parser
832	quotes parse format unterminated SimpleDateFormat Simple Format handle works Simple correctly Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char lookupMap lookup Map char HashMap Hash Map Escape work equals CharSequence Char Sequence String hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
