59	MDT DateUtils Utils hour method lang Utils Calendar switching truncate dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
419	string str length String WordUtils Word Utils substring Word upper abbreviate StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs string insensitive String case Case http sensitive locale Bug	case insensitive string handling
457	createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils String Bounds Exception Utils front thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Message ExtendedMessageFormat Extended Message Format Extended java formatRegistry format Registry borderStyle border Style appendTo append code	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String StringEscapeUtils String Escape Utils characters unicode Escape escape utf COUNTING Characters	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number NumberUtils Number Utils hasExp Exp return number Decimal Utils Point True	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Zone Format format TimeZone Time Zone test problem dateTime Time noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	Utils String replaceEach replace replacement replacementList replacement List StringUtils String Utils Test searchList search List replace case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ThreadLocals Thread Locals ToStringStyle String Style memory Hash application String created webapp HashCodeBuilder Hash Code Builder Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class Utils NPE ClassUtils Class Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception String NumberFormatException Number Format Exception Exception throws Format Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week FastDateFormat Fast Format locale Simple format Week output SimpleDateFormat Simple Format Locale	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test case MIN code getDenominator Denominator FractionTest Fraction Test apache Factory	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number code hasExp Exp String return Digit java NumberUtils Number Utils hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils DateUtils Utils method Local Calendar class assertFalse assert False Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java pattern formats YYY format Javadoc	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number case NumberFormatException Number Format Exception handle upper Utils Integer create	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers Long createNumber create Number createLong create Long NumberUtils Number Utils hex create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception class Utils SerializationUtils Serialization Utils Type ObjectInputStream Object Input Stream resolveClass resolve Class Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	RandomStringUtils Random String Utils Int code char nextInt Int length random int size chars	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomStringUtils Random String Utils RandomUtils Random Utils Utils String start nextInt Int throws source problem	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number NumberUtils Number Utils BigDecimal Big Decimal Decimal behaviour Big work NumberFormatException Number Format Exception Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP space treats treat white SDP parse Parser SimpleDateFormat Simple Format	FastDateParser handle white space properly Fast Parser
832	quotes format handle unterminated parse FastDateParser Fast Parser Simple Format works correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer work Sequence hash Map LookupTranslator Lookup Translator char	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
