59	MDT DateUtils Utils hour Utils Calendar DST Equals hours buggy truncate	lang DateUtils truncate method buggy dealing DST switching hours Utils
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case test String statement false StringIndexOutOfBoundsException String Bounds Exception source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale getDateInstance Instance getDateTimeInstance Time Instance Locale case Instance Format FastDateFormat Fast Format methods Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce pretty numerator infinite	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal Big compareTo compare compare Decimal comparing equals don Decimals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null getNullText Null Text null Fixed appendFixedWidth append Fixed Width Builder pointer width handle exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str String Word length substring upper StringIndexOutOfBoundsException String Bounds Exception WordUtils Word Utils greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug locale http Case html String insensitive Common case	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String digit Exception Number Bounds front LANG createNumber create Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	ExtendedMessageFormat Extended Message Format format Format Extended formatRegistry format Registry Message code String formattedPattern formatted Pattern QUOTE	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode String escapeHtml escape Html characters utf StringEscapeUtils String Escape Utils problem org escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number return decimal Decimal code Exp Point exponent	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone Format test GMT format dateTime Time noformat GregorianCalendar Gregorian Calendar	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replaceEach replace replacementList replacement List Test StringUtils String Utils case Utils replace org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread org String LANG leak application web Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object NPE element array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception Exception NumberFormatException Number Format Exception NumberUtils Number Utils Utils indicators passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week locale SimpleDateFormat Simple Format Week Format Locale format Simple println	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test getDenominator Denominator MIN method code case Denominator void	org apache commons lang math Fraction reduce Integer MIN
664	Number code return isNumber Number String Digit hasExp Exp Dec NumberUtils Number Utils hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Calendar Utils Local HOUR method False class	DateUtils isSameLocalTime work correct Utils Local Time
719	year pattern Java SimpleDateFormat Simple Format YYY Format bug number format FastDateFormat Fast Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberFormatException Number Format Exception Integer NumberUtils Number Utils case Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers Long createLong create Long hex createNumber create Number NumberUtils Number Utils Hex create	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception SerializationUtils Serialization Utils ObjectInputStream Object Input Stream class noformat primitiveType primitive Type Exception primitive	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code char length start array ends random int gap	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception String Illegal start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Big behaviour work Decimal NumberUtils Number Utils Java create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser dates space parse SimpleDateFormat Simple Format FDP Format parsed white Javadoc	FastDateParser handle white space properly Fast Parser
832	parse quotes format SimpleDateFormat Simple Format Simple unterminated Format FastDateParser Fast Parser Fast handle	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer work char code Map Sequence toString String	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
