59	MDT DateUtils Utils hour Utils Calendar DST Equals hours buggy truncate	lang DateUtils truncate method buggy dealing DST switching hours Utils
457	StringIndexOutOfBoundsException String Bounds Exception String digit Exception Number Bounds front LANG createNumber create Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format formatRegistry format Registry ExtendedMessageFormat Extended Message Format formattedPattern formatted Pattern code Extended String QUOTE appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode String escapeHtml escape Html characters utf StringEscapeUtils String Escape Utils problem org escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number return decimal code Decimal Exp Point exponent	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone Format test GMT format GregorianCalendar Gregorian Calendar dateTime Time noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils replacement case replacementList replacement List Test Utils replace org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread org String LANG leak application web Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object NPE element array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String NumberUtils Number Utils Exception StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Utils indicators passed NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week locale SimpleDateFormat Simple Format Week format Format Locale Simple println	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator MIN test method code case Denominator void	org apache commons lang math Fraction reduce Integer MIN
664	Number code return String isNumber Number hasExp Exp Dec Digit hasDecPoint Dec Point java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar Time Utils Local HOUR method assertFalse assert False False	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Java SimpleDateFormat Simple Format Format year format bug JDK number FastDateFormat Fast Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberFormatException Number Format Exception Integer NumberUtils Number Utils case Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers Long createLong create Long hex createNumber create Number NumberUtils Number Utils Hex check	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils ObjectInputStream Object Input Stream ClassNotFoundException Class Exception primitiveType primitive Type noformat Exception class clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code start length array ends random null int empty	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception String Illegal start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Big behaviour work NumberUtils Number Utils Decimal Java Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser dates space parse SimpleDateFormat Simple Format FDP Format parsed white Javadoc	FastDateParser handle white space properly Fast Parser
832	parse quotes format SimpleDateFormat Simple Format Simple unterminated Format FastDateParser Fast Parser Fast handle	FastDateParser handle unterminated quotes correctly Fast Parser
882	String CharSequence Char Sequence Char work code char CharBuffer Char Buffer Map StringEscapeUtils String Escape Utils Sequence	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
