59	DateUtils Utils MDT truncate hour oct result Calendar assert lang switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	Number createNumber create Number NumberUtils Number Utils throws StringIndexOutOfBoundsException String Bounds Exception String passed Exception argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week SimpleDateFormat Simple Format locale Locale format Fast Week Format year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer apache getDenominator Denominator MIN commons test FractionTest Fraction Test int Reduced	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String return NumberUtils Number Utils code chars hasExp Exp Dec Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Calendar Time assertFalse assert False Local method cal assert	DateUtils isSameLocalTime work correct Utils Local Time
719	Java FastDateFormat Fast Format year SimpleDateFormat Simple Format Format Fast pattern formats adjusted JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils upper createNumber create Number handle Integer case work NumberFormatException Number Format Exception handles	NumberUtils handle upper case hex Number Utils
747	Number numbers Long NumberUtils Number Utils Integer handle create hex createNumber create Number createLong create Long	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtils Serialization Utils Class primitive ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class noformat primitiveType primitive Type clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code null empty false Int array lang int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws confusing start Utils RandomUtils Random Utils Argument lang Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils behaviour leading BigDecimal Big Decimal create Big nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white space Fast parse parsed handle SimpleDateFormat Simple Format treats dates	FastDateParser handle white space properly Fast Parser
832	quotes unterminated SimpleDateFormat Simple Format handle parse handled Fast format correctly Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String StringEscapeUtils String Escape Utils char code work accepts translate quote	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
