59	DateUtils Utils Calendar MDT MST truncate assertEquals assert Equals hour oct lang result	lang DateUtils truncate method buggy dealing DST switching hours Utils
393	compare BigDecimal Big Decimal Decimal EqualsBuilder Equals Builder comparing don BigDecimals Big Decimals compareTo compare Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width handle StrBuilder Str Builder nulls Str Builder append Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils Word string str String abbreviate length upper greater bug	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs string Bug String case sensitive Case html intended	case insensitive string handling
457	createNumber create Number StringIndexOutOfBoundsException String Bounds Exception Number NumberUtils Number Utils String digit thows LANG Bounds Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry ExtendedMessageFormat Extended Message Format FORMAT HashMap Hash Map Extended Message formatted dummy	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode String StringEscapeUtils String Escape Utils utf characters Characters incorrectly escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number NumberUtils Number Utils number isNumber Number decimal Decimal hasDecPoint Dec Point return dec point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone GregorianCalendar Gregorian Calendar getTimeZone Time Zone format GMT testFormat test Format Format Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replace StringUtils String Utils replacementList replacement List replacement null Utils result searchList search List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory ThreadLocals Thread Locals webapp remove created thread HashCodeBuilder Hash Code Builder web trigger	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class ClassUtils Class Utils Class Object throws NPE null array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberUtils Number Utils Number throws StringIndexOutOfBoundsException String Bounds Exception String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week Week SimpleDateFormat Simple Format locale Locale format Format Days output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction FractionTest Fraction Test getDenominator Denominator Integer Denominator apache borderStyle border Style commons case denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils hasDecPoint Dec Point String hasExp Exp return Utils Java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils assertFalse assert False Assert assert Calendar Utils Time Local work	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format Javadoc JDK SimpleDateFormat Simple Format formats format year Java Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number upper handle case Integer hex work Utils	NumberUtils handle upper case hex Number Utils
747	NumberUtils Number Utils Number Long numbers createLong create Long create handle Integer createNumber create Number handles	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils primitiveType primitive Type ObjectInputStream Object Input Stream classLoader class Loader primitive SerializationUtilsTest Serialization Utils Test throws bug	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random empty Int length chars null size RandomStringUtils Random String Utils nextInt Int int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Int nextInt Int throws confusing RandomStringUtils Random String Utils start Utils IAE	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils createNumber create Number Decimal behaviour leading BigDecimal Big Decimal bad create checks	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse treats SimpleDateFormat Simple Format treat white space parsed handle FDP	FastDateParser handle white space properly Fast Parser
832	quotes handle unterminated SimpleDateFormat Simple Format parse works correctly format handled FastDateParser Fast Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharSequence Char Sequence lookupMap lookup Map StringEscapeUtils String Escape Utils hashCode hash Code HashMap Hash Map char Escape Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
