59	MDT DateUtils Utils Calendar hour Utils DST assertEquals assert Equals Equals hours assert	lang DateUtils truncate method buggy dealing DST switching hours Utils
662	Fraction case Integer getDenominator Denominator MIN test method code FractionTest Fraction Test void	org apache commons lang math Fraction reduce Integer MIN
664	Number hasExp Exp hasDecPoint Dec Point code return String isNumber Number Dec Digit java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Calendar Time assertFalse assert False Utils DateUtils Utils Local HOUR method False	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format pattern Java year FastDateFormat Fast Format bug number Javadoc JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberFormatException Number Format Exception Integer case NumberUtils Number Utils Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Number Long createLong create Long Integer numbers hex NumberUtils Number Utils create createNumber create Number handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ObjectInputStream Object Input Stream ClassNotFoundException Class Exception bug SerializationUtils Serialization Utils primitiveType primitive Type noformat Exception class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code random start Random ends array empty gap length	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils lang Argument source nextInt Int IllegalArgumentException Illegal Argument Exception String Illegal start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number BigDecimal Big Decimal createNumber create Number Big behaviour Decimal work Java Format NumberUtils Number Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP parse treat dates space parsed Format treats SDP	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple unterminated handle works Format Parser correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	String CharSequence Char Sequence Char work CharBuffer Char Buffer Buffer Map code hashCode hash Code equals	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
