59	MDT DAY DateUtils Utils Utils oct hour Calendar DST truncate Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
719	year SimpleDateFormat Simple Format Java Format pattern format FastDateFormat Fast Format bug number Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberFormatException Number Format Exception Integer createNumber create Number case Format NumberUtils Number Utils decode Utils upper	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers hex Long createNumber create Number createLong create Long NumberUtils Number Utils create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception class SerializationUtils Serialization Utils Exception ObjectInputStream Object Input Stream primitiveType primitive Type noformat primitive	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code ends array random exception int pass chars char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Argument Illegal lang RandomUtils Random Utils IllegalArgumentException Illegal Argument Exception source nextInt Int String	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal behaviour Big Decimal create work Format returns	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Format space parse parsed Parser dates FDP SimpleDateFormat Simple Format white	FastDateParser handle white space properly Fast Parser
832	format parse SimpleDateFormat Simple Format Simple Format quotes unterminated handled works FastDateParser Fast Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work code CharBuffer Char Buffer Map char translate Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
