59	MDT DateUtils Utils hour lang MST truncate Utils buggy Equals DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	NumberUtils Number Utils Number createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception Exception throws Format Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week Format locale SimpleDateFormat Simple Format format Simple Week Locale firstDayOfWeek Day Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator MIN Denominator apache org method commons code	org apache commons lang math Fraction reduce Integer MIN
664	Number NumberUtils Number Utils isNumber Number String return hasDecPoint Dec Point code java Utils change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Local Calendar Time class method Assert Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	Format Java SimpleDateFormat Simple Format FastDateFormat Fast Format year pattern format JDK formats Javadoc	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils case handle upper Integer Utils NumberFormatException Number Format Exception createNumber create Number Format	NumberUtils handle upper case hex Number Utils
747	Number Long numbers Integer NumberUtils Number Utils createLong create Long hex handle createNumber create Number Hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtils Serialization Utils Class ClassNotFoundException Class Exception primitiveType primitive Type ObjectInputStream Object Input Stream class Utils noformat clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code random length chars Int size char null ends int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils start String throws source problem confusing lang	RandomStringUtils throws confusing IAE start Random String Utils
822	NumberUtils Number Utils Number createNumber create Number behaviour Big BigDecimal Big Decimal Decimal work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space SimpleDateFormat Simple Format FDP white Parser dates SDP handle Format	FastDateParser handle white space properly Fast Parser
832	quotes SimpleDateFormat Simple Format FastDateParser Fast Parser parse format unterminated handle Format Simple handled	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String Sequence char work accepts lookupMap lookup Map Map CharBuffer Char Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
