59	MDT DateUtils Utils DAY hour lang oct Calendar truncate Utils buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
393	Big compare BigDecimal Big Decimal Decimal compareTo compare EqualsBuilder Equals Builder don comparing Decimals BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width getNullText Null Text StrBuilder Str Builder Null Builder pointer width null Fixed handle	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length string str WordUtils Word Utils String abbreviate substring Word upper StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug case http String insensitive string Case locale intended	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Exception Bounds createNumber create Number NumberUtils Number Utils Number Utils front thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Message Extended ExtendedMessageFormat Extended Message Format format String formatRegistry format Registry formattedPattern formatted Pattern Registry code	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html StringEscapeUtils String Escape Utils String unicode characters Escape utf escape Html UTF	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	isNumber Number Number NumberUtils Number Utils return number Digit Utils decimal Dec Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone Zone FastDateFormat Fast Format test dateTime Time GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace Utils StringUtils String Utils replacement Test replacementList replacement List replace org searchList search List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory String ThreadLocals Thread Locals org HashCodeBuilder Hash Code Builder thread Style LANG builder	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class NPE Object Class ClassUtils Class Utils Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception String NumberFormatException Number Format Exception throws Exception Utils Format	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week FastDateFormat Fast Format locale format SimpleDateFormat Simple Format Week Simple Fast firstDayOfWeek Day Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN getDenominator Denominator Denominator test apache FractionTest Fraction Test org method	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils String return Utils Digit hasDecPoint Dec Point code hasExp Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Local Utils Calendar method DAY setTimeInMillis set Time Millis class	DateUtils isSameLocalTime work correct Utils Local Time
719	Format year FastDateFormat Fast Format Java SimpleDateFormat Simple Format format pattern YYY formats Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils case createNumber create Number NumberFormatException Number Format Exception Integer handle upper Utils Format	NumberUtils handle upper case hex Number Utils
747	Number Long Integer numbers NumberUtils Number Utils createLong create Long createNumber create Number hex create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception class ObjectInputStream Object Input Stream clone primitiveType primitive Type primitive Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code chars random int char nextInt Int length pass ends	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils IllegalArgumentException Illegal Argument Exception Illegal start throws Exception Int lang	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number Number NumberUtils Number Utils behaviour BigDecimal Big Decimal Decimal Big Utils NumberFormatException Number Format Exception work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Parser space SimpleDateFormat Simple Format Format FDP white dates SDP handle	FastDateParser handle white space properly Fast Parser
832	format SimpleDateFormat Simple Format FastDateParser Fast Parser quotes Format parse unterminated handle Simple handled	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String CharBuffer Char Buffer Sequence Buffer code char work hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
