59	MDT truncate DateUtils Utils hour oct result MST assert lang switching	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	Number createNumber create Number throws StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils String passed Exception argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format format locale week Locale SimpleDateFormat Simple Format Format Fast Simple year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test apache case MIN commons getDenominator Denominator int Test	org apache commons lang math Fraction reduce Integer MIN
664	Number String isNumber Number return NumberUtils Number Utils code chars hasExp Exp Dec Exp	NumberUtils isNumber String String Number Utils Number
677	DateUtils Utils isSameLocalTime Local Time Utils assertFalse assert False Time Calendar Local method cal work	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Format SimpleDateFormat Simple Format Java year Fast formats pattern adjusted Javadoc	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils upper Integer createNumber create Number handle case work NumberFormatException Number Format Exception handles	NumberUtils handle upper case hex Number Utils
747	Long numbers Number handle createLong create Long create NumberUtils Number Utils hex Integer createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils primitive ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class bug noformat primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code Int empty false Random lang array start	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws confusing start Utils RandomUtils Random Utils Argument lang Illegal IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour NumberUtils Number Utils leading create BigDecimal Big Decimal Big nulll work	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	white space parse FastDateParser Fast Parser treat treats Fast parsed handle dates	FastDateParser handle white space properly Fast Parser
832	unterminated handle quotes format parse correctly Simple handled works Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence work String equals Escape lookupMap lookup Map code HashMap Hash Map Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
