59	MDT hour DateUtils Utils Utils DST MST Equals hours buggy truncate	lang DateUtils truncate method buggy dealing DST switching hours Utils
645	FastDateFormat Fast Format week locale SimpleDateFormat Simple Format Week format Format Locale Simple println	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Integer MIN method code test case void getReducedFraction Reduced Fraction	org apache commons lang math Fraction reduce Integer MIN
664	Number code return String hasExp Exp NumberUtils Number Utils isNumber Number Dec Digit hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar Time Utils Local HOUR method assertFalse assert False False	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Java SimpleDateFormat Simple Format Format year format bug JDK number FastDateFormat Fast Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Integer NumberFormatException Number Format Exception NumberUtils Number Utils case createNumber create Number Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers Long createLong create Long hex NumberUtils Number Utils createNumber create Number Hex check	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtils Serialization Utils Class ObjectInputStream Object Input Stream ClassNotFoundException Class Exception primitiveType primitive Type noformat Exception class clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code start random length array ends chars null empty	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception String Illegal start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal behaviour createNumber create Number work NumberUtils Number Utils Java Format invocations	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser dates space parse SimpleDateFormat Simple Format FDP Format parsed white Javadoc	FastDateParser handle white space properly Fast Parser
832	parse quotes format SimpleDateFormat Simple Format Simple unterminated Format FastDateParser Fast Parser Fast handle	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String char work code CharBuffer Char Buffer Map Sequence lookupMap lookup Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
