59	MDT hour Utils DAY HOUR DST DateUtils Utils Equals hours buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
480	characters data String escape problem org escapeHtml escape Html unicode byte StringEscapeUtils String Escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number return isNumber Number Point Dec code Exp point exponent	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format test format change TimeZone Time Zone noformat problem Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	case replacement String replaceEach replace replace Test StringUtils String Utils Utils org replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory ToStringStyle String Style String thread LANG application web Style remove	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object Class toClass Class element NPE array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	String Exception Number createNumber create Number StringIndexOutOfBoundsException String Bounds Exception argument NumberFormatException Number Format Exception indicators throws Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week locale Week format Format FastDateFormat Fast Format set year Locale Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	case test Fraction MIN Integer method code void getReducedFraction Reduced Fraction Reduced	org apache commons lang math Fraction reduce Integer MIN
664	return Number code String change hasExp Exp isNumber Number Dec Digit hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	Time HOUR isSameLocalTime Local Time Calendar Utils DateUtils Utils Local method set False	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format pattern Java SimpleDateFormat Simple Format bug number format FastDateFormat Fast Format behavior	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberFormatException Number Format Exception work Integer case createNumber create Number Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Long Number numbers Integer hex createLong create Long handle createNumber create Number handles Hex	NumberUtils handle Long Hex numbers Number Utils
788	Class class ClassNotFoundException Class Exception noformat Serialization Exception SerializationUtils Serialization Utils bug ObjectInputStream Object Input Stream problem	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code ends Int start random Random array gap length int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	source Random Utils lang Argument problem IllegalArgumentException Illegal Argument Exception String Illegal start	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal leading behaviour createNumber create Number work problem Java Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser treat dates space FDP Format properly handle white Javadoc	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple unterminated handle works Format Parser correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char work CharSequence Char Sequence String code Buffer implemented CharBuffer Char Buffer char Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
